Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
1,2:58,3,3,TEN 32,0,7,Malik Willis pass complete short left to Chris Conley for 7 yards (tackle by Michael Davis),0.300,1.530
1,2:11,1,10,TEN 39,0,7,Derrick Henry right tackle for 4 yards (tackle by Breiden Fehoko and Sebastian Joseph-Day),1.530,1.530
1,1:28,2,6,TEN 43,0,7,Malik Willis scrambles right end for 8 yards (tackle by Drue Tranquill),1.530,2.320
1,0:43,1,10,LAC 49,0,7,Derrick Henry right end for -1 yards (tackle by Sebastian Joseph-Day),2.320,1.650
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,LAC 50,0,7,"Malik Willis scrambles left end for no gain (tackle by Asante Samuel). Penalty on Dillon Radunz: Offensive Holding, 10 yards (accepted) (no play)",1.650,0.300
2,14:28,2,21,TEN 40,0,7,Malik Willis pass complete short right to Chigoziem Okonkwo for 6 yards (tackle by Alohi Gilman),0.300,0.430
2,13:47,3,15,TEN 46,0,7,Malik Willis pass incomplete short left intended for Austin Hooper (defended by Khalil Mack),0.430,-0.320
2,13:46,4,15,TEN 46,0,7,Ryan Stonehouse punts 42 yards downed by Hassan Haskins,-0.320,0.350
2,13:34,1,10,LAC 12,0,7,Joshua Kelley left tackle for 4 yards (tackle by DeMarcus Walker),-0.350,-0.370
2,13:14,2,6,LAC 16,0,7,Justin Herbert pass incomplete short left intended for Joshua Kelley,-0.370,-0.950
2,13:06,3,6,LAC 16,0,7,Justin Herbert pass complete short left to Josh Palmer for 5 yards (tackle by Kevin Byard),-0.950,-1.960
2,12:31,4,1,LAC 21,0,7,"JK Scott punts 42 yards, fair catch by Mason Kinsey at TEN-37",-1.960,-1.400
2,12:24,1,10,TEN 37,0,7,Derrick Henry up the middle for 11 yards (tackle by Michael Davis and Alohi Gilman),1.400,2.130
2,11:47,1,10,TEN 48,0,7,Ryan Tannehill pass complete short right to Derrick Henry for 37 yards (tackle by Drue Tranquill),2.130,4.580
2,11:03,1,10,LAC 15,0,7,Ryan Tannehill pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Michael Davis),4.580,3.950
2,10:55,2,10,LAC 15,0,7,Derrick Henry left end for 11 yards (tackle by Ja'Sir Taylor),3.950,6.280
2,10:17,1,4,LAC 4,0,7,Ryan Tannehill pass incomplete short left intended for Robert Woods,6.280,5.340
2,10:13,2,4,LAC 4,6,7,"Derrick Henry left guard for 4 yards, touchdown",5.340,7.000
2,10:09,,,LAC 15,7,7,Randy Bullock kicks extra point good,0.000,0.000
2,10:09,,,TEN 35,7,7,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
2,10:09,1,10,LAC 25,7,7,DeAndre Carter right end for -10 yards (tackle by Joshua Kalu),0.610,-1.430
2,9:34,2,20,LAC 15,7,7,Justin Herbert pass complete short middle to Josh Palmer for 12 yards (tackle by John Reid),-1.430,-0.360
2,8:57,3,8,LAC 27,7,7,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Andrew Adams),-0.360,-1.110
2,8:07,,,,,,Timeout #1 by Los Angeles Chargers,,
2,8:07,,,,,,Timeout #1 by Tennessee Titans,,
2,8:07,4,1,LAC 34,7,7,Justin Herbert up the middle for 2 yards (tackle by Naquan Jones),-1.110,1.330
2,7:33,1,10,LAC 36,7,7,Justin Herbert pass complete short left to Keenan Allen for 4 yards (tackle by Andrew Adams),1.330,1.330
2,7:01,2,6,LAC 40,7,7,Austin Ekeler left tackle for 3 yards (tackle by Jeffery Simmons),1.330,1.030
2,6:19,3,3,LAC 43,7,7,Justin Herbert pass incomplete deep middle intended for Keenan Allen (defended by Monty Rice),1.030,-0.520
2,6:13,4,3,LAC 43,7,7,"JK Scott punts 39 yards, fair catch by Mason Kinsey at TEN-18",-0.520,-0.040
2,6:06,1,10,TEN 18,7,7,Derrick Henry up the middle for 2 yards (tackle by Khalil Mack and Breiden Fehoko),0.040,-0.130
2,5:23,2,8,TEN 20,7,7,Ryan Tannehill pass complete short left to Robert Woods for 8 yards (tackle by Kenneth Murray),-0.130,0.810
2,4:52,1,10,TEN 28,7,7,Ryan Tannehill pass complete short left to Derrick Henry for 16 yards (tackle by Kyle Van Noy),0.810,1.860
2,4:05,1,10,TEN 44,7,7,"Derrick Henry right end for no gain (tackle by Drue Tranquill). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted) (no play)",1.860,1.200
2,3:37,1,20,TEN 34,7,7,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine,1.200,-0.030
2,3:30,2,20,TEN 34,7,7,Ryan Tannehill pass complete short right to Hassan Haskins for 9 yards (tackle by Kenneth Murray and Bryce Callahan),-0.030,0.500
2,2:45,3,11,TEN 43,7,7,Ryan Tannehill pass complete short middle to Racey McMath for 1 yard (tackle by Drue Tranquill and Kenneth Murray),0.500,-0.460
2,2:00,4,10,TEN 44,7,7,"Ryan Stonehouse punts 56 yards, touchback.",-0.460,-0.280
2,1:52,1,10,LAC 20,7,7,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Roger McCreary and Andrew Adams),0.280,0.680
2,1:32,2,3,LAC 27,7,7,"Penalty on Josh Palmer: False Start, 5 yards (accepted) (no play)",0.680,0.000
2,1:23,2,8,LAC 22,7,7,Justin Herbert pass complete short right to Josh Palmer for 14 yards (tackle by Greg Mabin),0.000,1.330
2,1:06,1,10,LAC 36,7,7,Justin Herbert pass complete short right to Gerald Everett for 10 yards (tackle by Jeffery Simmons),1.330,1.990
2,0:42,1,10,LAC 46,7,7,Justin Herbert pass complete short right to DeAndre Carter for 15 yards (tackle by Greg Mabin),1.990,2.980
2,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:35,1,10,TEN 39,7,7,Justin Herbert pass complete short middle to Donald Parham for 9 yards (tackle by Andrew Adams and Monty Rice),2.980,3.660
2,0:28,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:28,2,1,TEN 30,7,7,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Monty Rice),3.660,3.840
2,0:13,1,10,TEN 26,7,7,Justin Herbert spiked the ball,3.840,3.360
2,0:12,2,10,TEN 25,7,7,Justin Herbert pass deep left (defended by Roger McCreary) intended for Mike Williams is intercepted by Joshua Kalu in end zone and returned for no gain,3.360,-0.280
2,0:07,1,10,TEN 20,7,7,Ryan Tannehill kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,7,7,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,7,7,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Kevin Byard),0.610,1.280
3,14:34,2,1,LAC 34,7,7,Austin Ekeler up the middle for 7 yards (tackle by Kevin Byard and Greg Mabin),1.280,1.660
3,13:59,1,10,LAC 41,7,7,"Justin Herbert pass incomplete short right intended for Keenan Allen. Penalty on Mario Edwards: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",1.660,1.990
3,13:48,1,10,LAC 46,7,7,Justin Herbert pass incomplete short right intended for Austin Ekeler,1.990,1.450
3,13:45,2,10,LAC 46,7,7,Justin Herbert pass complete short middle to Josh Palmer for 6 yards (tackle by Monty Rice and Jack Gibbens),1.450,1.550
3,13:10,3,4,TEN 48,7,7,Justin Herbert sacked by DeMarcus Walker for -7 yards,1.550,-0.390
3,12:34,4,11,LAC 45,7,7,"JK Scott punts 35 yards, recovered by Mason Kinsey at TEN-20 and returned for 1 yard",-0.390,-0.340
3,12:24,1,10,TEN 21,7,7,Derrick Henry left end for 4 yards (tackle by Kyle Van Noy and Kenneth Murray),0.340,0.340
3,11:43,2,6,TEN 25,7,7,Ryan Tannehill pass complete short left to Robert Woods for 4 yards (tackle by Michael Davis),0.340,0.170
3,11:03,3,2,TEN 29,7,7,Ryan Tannehill pass incomplete short right intended for Robert Woods (defended by Asante Samuel),0.170,-1.440
3,10:57,4,2,TEN 29,7,7,"Ryan Stonehouse punts 66 yards, returned by DeAndre Carter for 13 yards (tackle by Kevin Rader)",-1.440,-0.040
3,10:46,1,10,LAC 18,7,7,Justin Herbert pass complete short right to Gerald Everett for 21 yards (tackle by Jack Gibbens),0.040,1.530
3,10:24,1,10,LAC 39,7,7,Justin Herbert pass complete short right to Joshua Kelley for 7 yards (tackle by Greg Mabin),1.530,1.930
3,9:57,2,3,LAC 46,7,7,Justin Herbert pass complete short right to Mike Williams for 8 yards (tackle by Greg Mabin),1.930,2.520
3,9:20,1,10,TEN 46,7,7,"Justin Herbert scrambles left end for no gain (tackle by Joshua Kalu). Penalty on Matt Feiler: Offensive Holding, 10 yards (accepted) (no play)",2.520,1.860
3,8:55,1,20,LAC 44,7,7,Justin Herbert pass complete short left to Josh Palmer for 12 yards (tackle by Roger McCreary),1.860,2.250
3,8:27,2,8,TEN 44,7,7,Justin Herbert pass incomplete short left intended for DeAndre Carter,2.250,1.550
3,8:19,3,8,TEN 44,7,7,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Roger McCreary),1.550,0.330
3,8:15,4,8,TEN 44,7,7,"JK Scott punts 31 yards, fair catch by Mason Kinsey at TEN-13",0.330,0.320
3,8:08,1,10,TEN 13,7,7,Derrick Henry right tackle for -1 yards (tackle by Breiden Fehoko),-0.320,-0.850
3,7:35,2,11,TEN 12,7,7,"Ryan Tannehill pass deep right intended for Racey McMath is intercepted by Nasir Adderley at TEN-48 and returned for no gain (tackle by Racey McMath). Penalty on Racey McMath: Offensive Pass Interference, 10 yards (declined)",-0.850,-2.390
3,7:23,1,10,TEN 48,7,7,Justin Herbert pass incomplete deep right intended for Gerald Everett,2.390,1.850
3,7:18,2,10,TEN 48,7,7,Austin Ekeler up the middle for 7 yards (tackle by Jack Gibbens),1.850,2.080
3,6:41,3,3,TEN 41,7,7,Justin Herbert pass complete short left to Keenan Allen for 12 yards (tackle by John Reid),2.080,3.640
3,6:07,1,10,TEN 29,7,7,Joshua Kelley up the middle for 2 yards (tackle by Joshua Kalu),3.640,3.370
3,5:30,2,8,TEN 27,7,7,"Justin Herbert pass short middle intended for Mike Williams is intercepted by Kevin Byard at TEN-17 and returned for 3 yards (tackle by Austin Ekeler). Penalty on Matt Feiler: Offensive Holding, 10 yards (declined)",3.370,-0.280
3,5:23,1,10,TEN 20,7,7,Ryan Tannehill pass complete deep right to Chigoziem Okonkwo for 18 yards (tackle by Kyle Van Noy and Alohi Gilman),0.280,1.470
3,4:42,1,10,TEN 38,7,7,Derrick Henry up the middle for 7 yards (tackle by Drue Tranquill),1.470,1.870
3,4:05,2,3,TEN 45,7,7,Derrick Henry right guard for 1 yard (tackle by Breiden Fehoko and Drue Tranquill),1.870,1.290
3,3:24,3,2,TEN 46,7,7,Ryan Tannehill pass incomplete short right intended for Chigoziem Okonkwo,1.290,-0.320
3,3:17,4,2,TEN 46,7,7,"Ryan Stonehouse punts 42 yards, fair catch by DeAndre Carter at LAC-12",-0.320,0.350
3,3:10,1,10,LAC 12,7,7,Justin Herbert pass incomplete short right intended for Gerald Everett,-0.350,-0.780
3,3:06,2,10,LAC 12,7,7,Joshua Kelley right guard for 3 yards (tackle by Rashad Weaver and Jeffery Simmons),-0.780,-1.070
3,2:27,3,7,LAC 15,7,7,Justin Herbert sacked by DeMarcus Walker for -6 yards,-1.070,-2.490
3,1:52,4,13,LAC 9,7,7,"JK Scott punts 45 yards, returned by Mason Kinsey for no gain (tackle by Kemon Hall)",-2.490,-1.990
3,1:43,1,10,TEN 46,7,7,Ryan Tannehill pass complete short left to Austin Hooper for 16 yards (tackle by Ja'Sir Taylor),1.990,3.050
3,1:09,1,10,LAC 38,7,7,Derrick Henry left guard for 13 yards (tackle by Nasir Adderley and Asante Samuel),3.050,3.910
3,0:28,1,10,LAC 25,7,7,Ryan Tannehill sacked by Joe Gaziano for -6 yards,3.910,2.550
Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,LAC 31,7,7,Derrick Henry up the middle for 7 yards (tackle by Kyle Van Noy and Sebastian Joseph-Day),2.550,2.810
4,14:21,3,9,LAC 24,7,7,Ryan Tannehill sacked by Chris Rumph for -9 yards,2.810,1.150
4,13:41,4,18,LAC 33,7,7,Randy Bullock 51 yard field goal no good,1.150,-1.660
4,13:34,1,10,LAC 41,7,7,Austin Ekeler right guard for 1 yard (tackle by Tarell Basham and Jack Gibbens),1.660,1.260
4,13:12,2,9,LAC 42,7,7,Justin Herbert pass complete short right to Donald Parham for 8 yards (tackle by Greg Mabin and Jack Gibbens),1.260,1.620
4,12:37,3,1,LAC 50,7,7,Austin Ekeler left guard for 4 yards (tackle by Jack Gibbens and Jeffery Simmons),1.620,2.520
4,11:56,1,10,TEN 46,7,7,Justin Herbert pass complete deep left to Keenan Allen for 31 yards (tackle by Greg Mabin),2.520,4.580
4,11:18,1,10,TEN 15,7,7,Austin Ekeler right tackle for 12 yards (tackle by Andrew Adams and Monty Rice),4.580,6.510
4,10:34,1,3,TEN 3,7,13,"Austin Ekeler right guard for 3 yards, touchdown",6.510,7.000
4,10:28,,,TEN 15,7,14,Cameron Dicker kicks extra point good,0.000,0.000
4,10:28,,,LAC 35,7,14,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,10:28,1,10,TEN 25,7,14,Derrick Henry up the middle for 3 yards (tackle by Sebastian Joseph-Day and Breiden Fehoko),0.610,0.470
4,9:48,2,7,TEN 28,7,14,"Derrick Henry up the middle for no gain (tackle by Kyle Van Noy and Bryce Callahan). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted) (no play)",0.470,-0.980
4,9:27,2,17,TEN 18,7,14,Ryan Tannehill sacked by Kyle Van Noy for -6 yards,-0.980,-2.940
4,8:45,3,23,TEN 12,7,14,Chigoziem Okonkwo up the middle for 6 yards (tackle by Drue Tranquill),-2.940,-2.240
4,8:04,4,17,TEN 18,7,14,"Ryan Stonehouse punts 68 yards, returned by DeAndre Carter for 18 yards (tackle by Chigoziem Okonkwo)",-2.240,-1.070
4,7:50,1,10,LAC 32,7,14,"Austin Ekeler right tackle for 2 yards (tackle by Kevin Byard). Penalty on Kevin Byard: Face Mask (15 Yards), 15 yards (accepted)",1.070,2.190
4,7:40,1,10,LAC 49,7,14,Joshua Kelley left tackle for 1 yard (tackle by Kevin Byard and Tarell Basham),2.190,1.780
4,7:04,2,9,LAC 50,7,14,Justin Herbert pass complete short right to Gerald Everett for 5 yards (tackle by Dylan Cole),1.780,1.750
4,6:21,3,4,TEN 45,7,14,Justin Herbert pass incomplete deep right intended for Mike Williams,1.750,0.270
4,6:14,4,4,TEN 45,7,14,"JK Scott punts 45 yards, touchback.",0.270,-0.280
4,6:04,1,10,TEN 20,7,14,Derrick Henry right end for 8 yards (tackle by Khalil Mack and Alohi Gilman),0.280,0.810
4,5:29,2,2,TEN 28,7,14,Derrick Henry left tackle for 12 yards (tackle by Alohi Gilman),0.810,1.600
4,4:56,1,10,TEN 40,7,14,"Derrick Henry right guard for 1 yard. Derrick Henry fumbles (forced by Drue Tranquill), recovered by Ben Jones at TEN-41 (tackle by Drue Tranquill)",1.600,1.190
4,4:11,2,9,TEN 41,7,14,Ryan Tannehill pass incomplete short left intended for Austin Hooper (defended by Kenneth Murray),1.190,0.500
4,4:03,3,9,TEN 41,7,14,Ryan Tannehill sacked by Drue Tranquill for -7 yards,0.500,-1.110
4,3:27,4,16,TEN 34,7,14,"Ryan Stonehouse punts 61 yards, returned by DeAndre Carter for 10 yards (tackle by Andre Smith)",-1.110,0.220
4,3:19,1,10,LAC 15,7,14,Austin Ekeler up the middle for no gain (tackle by Jeffery Simmons and DeMarcus Walker),-0.220,-0.710
4,3:16,,,,,,Timeout #1 by Tennessee Titans,,
4,3:16,2,10,LAC 15,7,14,Justin Herbert pass incomplete short right,-0.710,-1.370
4,3:11,3,10,LAC 15,7,14,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Greg Mabin),-1.370,-2.030
4,3:05,,,,,,Timeout #2 by Tennessee Titans,,
4,3:05,4,5,LAC 20,7,14,"JK Scott punts 54 yards, fair catch by Mason Kinsey at TEN-26",-2.030,-0.670
4,2:57,1,10,TEN 26,7,14,Derrick Henry right end for 7 yards (tackle by Nasir Adderley),0.670,1.070
4,2:34,2,3,TEN 33,7,14,Derrick Henry up the middle for 3 yards (tackle by Khalil Mack),1.070,1.330
4,2:15,1,10,TEN 36,7,14,Ryan Tannehill pass complete short middle to Derrick Henry for 4 yards (tackle by Kenneth Murray),1.330,1.330
4,2:00,2,6,TEN 40,7,14,Ryan Tannehill pass complete short left to Chris Conley for 5 yards (tackle by Asante Samuel),1.330,1.290
4,1:43,3,1,TEN 45,7,14,Hassan Haskins right guard for 8 yards (tackle by Khalil Mack and Kenneth Murray),1.290,2.460
4,1:20,1,10,LAC 47,7,14,Ryan Tannehill pass complete short left to Hassan Haskins for -2 yards (tackle by Kenneth Murray),2.460,1.640
4,1:14,,,,,,Timeout #3 by Tennessee Titans,,
4,1:14,2,12,LAC 49,7,14,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 28 yards (tackle by Alohi Gilman),1.640,4.170
4,1:07,1,10,LAC 21,7,14,Ryan Tannehill pass complete short middle to Austin Hooper for 17 yards (tackle by Nasir Adderley),4.170,6.280
4,0:59,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:59,1,4,LAC 4,7,14,Ryan Tannehill pass complete short left to Derrick Henry for 2 yards (tackle by Nasir Adderley),6.280,5.720
4,0:54,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:54,2,2,LAC 2,7,14,Derrick Henry up the middle for 1 yard (tackle by Tyeler Davison and Drue Tranquill),5.720,5.170
4,0:51,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:51,3,1,LAC 1,13,14,"Ryan Tannehill up the middle for 1 yard, touchdown",5.170,7.000
4,0:48,,,LAC 15,14,14,Randy Bullock kicks extra point good,0.000,0.000
4,0:48,,,TEN 35,14,14,"Randy Bullock kicks off 59 yards, returned by DeAndre Carter for 17 yards (tackle by Andre Smith)",0.000,0.480
4,0:44,1,10,LAC 23,14,14,Justin Herbert pass complete deep left to Mike Williams for 16 yards,0.480,1.530
4,0:39,1,10,LAC 39,14,14,Justin Herbert pass complete short right to Gerald Everett for 6 yards (tackle by Monty Rice),1.530,1.800
4,0:32,2,4,LAC 45,14,14,Justin Herbert pass complete deep right to Mike Williams for 35 yards (tackle by Greg Mabin),1.800,4.240
4,0:15,1,10,TEN 20,14,14,Justin Herbert spiked the ball,4.240,3.690
4,0:14,2,10,TEN 20,14,14,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",3.690,3.020
4,0:14,2,15,TEN 25,14,14,Justin Herbert pass incomplete deep right,3.020,2.340
4,0:08,3,15,TEN 25,14,17,Cameron Dicker 43 yard field goal good,2.340,3.000
4,0:04,,,LAC 35,14,17,"Cameron Dicker kicks off 43 yards, returned by Kevin Rader for -3 yards, lateral to Julius Chestnut for no gain (tackle by Troy Reeder and Deane Leonard)",0.000,1.270
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
