Unnamed: 0,TEN,LAC
First Downs,17,23
Rush-Yds-TDs,27-127-2,24-74-2
Cmp-Att-Yd-TD-INT,18-26-185-0-1,28-42-313-0-2
Sacked-Yards,4-28,3-22
Net Pass Yards,157,291
Total Yards,284,365
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,6-62,3-20
Third Down Conv.,3-11,4-13
Fourth Down Conv.,0-0,2-2
Time of Possession,30:12,29:48
