Unnamed: 0,TAM,SFO
First Downs,14,22
Rush-Yds-TDs,14-68-0,41-212-1
Cmp-Att-Yd-TD-INT,25-41-265-1-3,15-29-253-2-1
Sacked-Yards,2-7,1-7
Net Pass Yards,258,246
Total Yards,326,458
Fumbles-Lost,3-1,1-1
Turnovers,4,2
Penalties-Yards,6-74,5-35
Third Down Conv.,3-12,3-13
Fourth Down Conv.,1-1,1-2
Time of Possession,26:52,33:08
