Quarter,Time,Tm,Detail,TAM,SFO
1.0,11:38,49ers,Garrison Hearst 7 yard rush (Owen Pochman kick),0,7
,4:44,Buccaneers,Keenan McCardell 75 yard pass from Brad Johnson (Martin Gramatica kick),7,7
2.0,14:55,49ers,Tai Streets 14 yard pass from Jeff Garcia (Owen Pochman kick),7,14
,7:20,49ers,Terrell Owens 75 yard pass from Jeff Garcia (Owen Pochman kick),7,21
4.0,2:05,49ers,Owen Pochman 27 yard field goal,7,24
