Quarter,Time,Tm,Detail,LVR,DEN
1,6:22,Broncos,Latavius Murray 1 yard rush (Brandon McManus kick),0,7
2,9:19,Broncos,Brandon McManus 48 yard field goal,0,10
,5:36,Raiders,Davante Adams 31 yard pass from Derek Carr (Daniel Carlson kick),7,10
3,10:37,Raiders,Daniel Carlson 52 yard field goal,10,10
4,14:56,Broncos,Brandon McManus 52 yard field goal,10,13
,7:06,Raiders,Daniel Carlson 57 yard field goal,13,13
,3:30,Broncos,Brandon McManus 48 yard field goal,13,16
,0:16,Raiders,Daniel Carlson 25 yard field goal,16,16
OT,8:24,Raiders,Davante Adams 35 yard pass from Derek Carr,22,16
