Quarter,Time,Tm,Detail,DEN,OAK
1.0,7:35,Raiders,Sebastian Janikowski 48 yard field goal,0,3
,1:11,Broncos,Eric Decker 27 yard pass from Tim Tebow (Matt Prater kick),7,3
2.0,10:42,Raiders,Michael Bush 11 yard pass from Carson Palmer (Sebastian Janikowski kick),7,10
,1:30,Raiders,Marcel Reece 40 yard pass from Carson Palmer (Sebastian Janikowski kick),7,17
3.0,10:48,Broncos,Eddie Royal 26 yard pass from Tim Tebow (Matt Prater kick),14,17
,6:41,Raiders,Jacoby Ford 18 yard pass from Carson Palmer (Sebastian Janikowski kick),14,24
,2:52,Broncos,Matt Prater 43 yard field goal,17,24
,0:00,Broncos,Willis McGahee 60 yard rush (Matt Prater kick),24,24
4.0,5:53,Broncos,Eddie Royal 85 yard punt return (Matt Prater kick),31,24
,1:53,Broncos,Willis McGahee 24 yard rush (Matt Prater kick),38,24
