Unnamed: 0,TEN,JAX
First Downs,19,13
Rush-Yds-TDs,39-147-0,14-19-0
Cmp-Att-Yd-TD-INT,20-29-179-1-1,20-32-212-1-0
Sacked-Yards,4-14,1-9
Net Pass Yards,165,203
Total Yards,312,222
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,6-40,4-25
Third Down Conv.,6-17,5-11
Fourth Down Conv.,2-3,0-0
Time of Possession,36:12,23:48
