Quarter,Time,Tm,Detail,NYJ,PIT
1,5:18,Steelers,Jeff Reed 45 yard field goal,0,3
,1:58,Steelers,Jerome Bettis 3 yard rush (Jeff Reed kick),0,10
2,10:33,Jets,Doug Brien 42 yard field goal,3,10
,3:00,Jets,Santana Moss 75 yard punt return (Doug Brien kick),10,10
3,3:52,Jets,Reggie Tongue 86 yard interception return (Doug Brien kick),17,10
4,6:00,Steelers,Hines Ward 4 yard pass from Ben Roethlisberger (Jeff Reed kick),17,17
OT,3:56,Steelers,Jeff Reed 33 yard field goal,17,20
