Unnamed: 0,NYJ,PIT
First Downs,17,23
Rush-Yds-TDs,27-110-0,43-193-1
Cmp-Att-Yd-TD-INT,21-33-182-0-1,17-30-181-1-2
Sacked-Yards,3-17,1-10
Net Pass Yards,165,171
Total Yards,275,364
Fumbles-Lost,0-0,1-1
Turnovers,1,3
Penalties-Yards,4-35,6-45
Third Down Conv.,3-12,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,31:22,39:42
