Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 66 yards, returned by Jerricho Cotchery for 17 yards (tackle by Ike Taylor)",0.000,0.340
1,14:51,1,10,NYJ 21,0,0,Chad Pennington pass complete to Santana Moss for 10 yards (tackle by Willie J. Williams),0.340,1.000
1,14:27,1,10,NYJ 31,0,0,Curtis Martin up the middle for 2 yards,1.000,0.730
1,13:46,2,8,NYJ 33,0,0,"Chad Pennington pass incomplete intended for Justin McCareins. Penalty on Jason Fabini: Offensive Holding, 10 yards (no play)",0.730,-0.620
1,13:40,2,18,NYJ 23,0,0,Curtis Martin up the middle for 6 yards (tackle by Clark Haggans and James Farrior),-0.620,-0.490
1,12:58,3,12,NYJ 29,0,0,Chad Pennington pass incomplete intended for Wayne Chrebet,-0.490,-1.440
1,12:48,4,12,NYJ 29,0,0,Toby Gowin punts 32 yards,-1.440,-1.530
1,12:44,1,10,PIT 39,0,0,Jerome Bettis right guard for 1 yard (tackle by Mark Brown and Jason Ferguson),1.530,1.120
1,12:08,2,9,PIT 40,0,0,Ben Roethlisberger pass incomplete intended for Plaxico Burress (defended by David Barrett),1.120,0.430
1,12:01,3,9,PIT 40,0,0,"Penalty on Jerame Tuman: False Start, 5 yards (no play)",0.430,-0.230
1,12:02,3,14,PIT 35,0,0,Ben Roethlisberger pass incomplete intended for Lee Mays (defended by Derrick Strait),-0.230,-1.040
1,11:57,4,14,PIT 35,0,0,"Chris Gardocki punts 42 yards, returned by Santana Moss for no gain",-1.040,-0.480
1,11:48,1,10,NYJ 23,0,0,Curtis Martin right tackle for 7 yards (tackle by Chris Hope),0.480,0.880
1,11:11,2,3,NYJ 30,0,0,Chad Pennington pass complete to Justin McCareins for 6 yards (tackle by Chad Scott),0.880,1.330
1,10:33,1,10,NYJ 36,0,0,Chad Pennington sacked by Clark Haggans for -11 yards,1.330,-0.700
1,9:59,2,21,NYJ 25,0,0,Curtis Martin up the middle for -3 yards (tackle by Aaron Smith and Clark Haggans),-0.700,-1.750
1,9:19,3,24,NYJ 22,0,0,Curtis Martin up the middle for 13 yards (tackle by Troy Polamalu and Deshea Townsend),-1.750,-1.040
1,8:48,4,11,NYJ 35,0,0,"Toby Gowin punts 32 yards, returned by Antwaan Randle El for 3 yards (tackle by Jon McGraw)",-1.040,-1.330
1,8:38,1,10,PIT 36,0,0,Ben Roethlisberger pass complete to Hines Ward for 15 yards (tackle by David Barrett),1.330,2.320
1,8:11,1,10,NYJ 49,0,0,Jerome Bettis up the middle for 9 yards (tackle by Erik Coleman and Reggie Tongue),2.320,3.000
1,7:33,2,1,NYJ 40,0,0,Jerome Bettis up the middle for 6 yards (tackle by Erik Coleman),3.000,3.310
1,6:54,1,10,NYJ 34,0,0,Ben Roethlisberger pass incomplete intended for Plaxico Burress,3.310,2.770
1,6:47,2,10,NYJ 34,0,0,Jerome Bettis left guard for 2 yards (tackle by Bryan Thomas),2.770,2.350
1,6:06,3,8,NYJ 32,0,0,Ben Roethlisberger right guard for 5 yards (tackle by Derrick Strait),2.350,1.770
1,5:23,4,3,NYJ 27,0,3,Jeff Reed 45 yard field goal good,1.770,3.000
1,,,,PIT 30,0,3,"Jeff Reed kicks off 69 yards, returned by Jerricho Cotchery for 27 yards (tackle by Russell Stuvaints)",0.000,0.810
1,5:12,1,10,NYJ 28,0,3,Chad Pennington up the middle for 4 yards (tackle by Joey Porter),0.810,0.800
1,4:27,2,6,NYJ 32,0,3,Chad Pennington pass incomplete intended for Santana Moss is intercepted by Troy Polamalu at NYJ-39 and returned for 14 yards,0.800,-3.910
1,4:16,1,10,NYJ 25,0,3,Jerome Bettis up the middle for 4 yards (tackle by Jonathan Vilma),3.910,3.900
1,3:33,2,6,NYJ 21,0,3,Ben Roethlisberger pass complete to Hines Ward for 9 yards (tackle by Jonathan Vilma),3.900,4.780
1,2:51,1,10,NYJ 12,0,3,Ben Roethlisberger pass incomplete intended for Plaxico Burress,4.780,4.100
1,2:48,2,10,NYJ 12,0,3,Jerome Bettis right end for 9 yards (tackle by Eric Barton and Reggie Tongue),4.100,5.060
1,2:01,3,1,NYJ 3,0,9,"Jerome Bettis up the middle for 3 yards, touchdown",5.060,7.000
1,,,,NYJ 2,0,10,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,0,10,"Jeff Reed kicks off 62 yards, returned by Jerricho Cotchery for 30 yards (tackle by Chidi Iwuoma)",0.000,1.470
