Quarter,Time,Tm,Detail,CAR,JAX
1.0,8:36,Jaguars,Brandon McManus 35 yard field goal,0,3
2.0,7:18,Jaguars,Brandon McManus 26 yard field goal,0,6
,2:45,Jaguars,Brandon McManus 24 yard field goal,0,9
3.0,11:56,Jaguars,Travis Etienne 62 yard rush (Brandon McManus kick),0,16
,3:00,Jaguars,Brandon McManus 34 yard field goal,0,19
4.0,4:16,Jaguars,Travis Etienne 1 yard rush (Brandon McManus kick),0,26
