Unnamed: 0,CAR,JAX
First Downs,7,16
Rush-Yds-TDs,15-57-0,35-155-2
Cmp-Att-Yd-TD-INT,19-32-112-0-1,17-24-178-0-0
Sacked-Yards,6-45,3-16
Net Pass Yards,67,162
Total Yards,124,317
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,3-24,1-15
Third Down Conv.,1-13,7-16
Fourth Down Conv.,3-6,1-1
Time of Possession,26:31,33:29
