Unnamed: 0,PHI,MIN
First Downs,19,26
Rush-Yds-TDs,22-108-0,35-122-1
Cmp-Att-Yd-TD-INT,26-41-306-2-2,22-29-333-4-1
Sacked-Yards,2-14,1-8
Net Pass Yards,292,325
Total Yards,400,447
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,7-49,4-30
Third Down Conv.,4-12,2-10
Fourth Down Conv.,1-3,1-1
Time of Possession,27:56,32:04
