Quarter,Time,Tm,Detail,PHI,MIN
1.0,7:43,Vikings,Adam Thielen 6 yard pass from Kirk Cousins (Dan Bailey kick),0,7
,1:54,Vikings,Dan Bailey 39 yard field goal,0,10
2.0,12:10,Eagles,Jake Elliott 53 yard field goal,3,10
,11:39,Vikings,Stefon Diggs 62 yard pass from Kirk Cousins (Dan Bailey kick),3,17
,9:31,Vikings,Stefon Diggs 51 yard pass from Kirk Cousins (Dan Bailey kick),3,24
,7:02,Eagles,Miles Sanders 32 yard pass from Carson Wentz (Jake Elliott kick),10,24
3.0,12:11,Eagles,Alshon Jeffery 3 yard pass from Carson Wentz (Jake Elliott kick),17,24
,6:19,Eagles,Jake Elliott 40 yard field goal,20,24
,1:16,Vikings,Stefon Diggs 11 yard pass from Kirk Cousins (Dan Bailey kick),20,31
4.0,8:17,Vikings,Dalvin Cook 1 yard rush (Dan Bailey kick),20,38
