Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Kirk Cousins pass complete short right to Stefon Diggs for 4 yards (tackle by Sidney Jones),0.610,0.600
1,14:24,2,6,MIN 29,0,0,"Penalty on Brandon Graham: Neutral Zone Infraction, 5 yards (no play)",0.600,1.280
1,14:06,2,1,MIN 34,0,0,Dalvin Cook left end for 5 yards (tackle by Nigel Bradham),1.280,1.530
1,13:35,1,10,MIN 39,0,0,Dalvin Cook left tackle for 5 yards (tackle by Fletcher Cox),1.530,1.660
1,12:56,2,5,MIN 44,0,0,Stefon Diggs left end for 10 yards (tackle by Rasul Douglas),1.660,2.520
1,12:25,1,10,PHI 46,0,0,Kirk Cousins pass incomplete deep left intended for Stefon Diggs,2.520,1.980
1,12:19,2,10,PHI 46,0,0,Dalvin Cook left guard for -3 yards (tackle by Fletcher Cox),1.980,0.890
1,11:37,3,13,PHI 49,0,0,Kirk Cousins pass complete deep middle to Adam Thielen for 20 yards (tackle by Andrew Sendejo),0.890,3.640
1,11:10,1,10,PHI 29,0,0,Dalvin Cook right end for 14 yards (tackle by Rodney McLeod),3.640,4.580
1,10:32,1,10,PHI 15,0,0,Kirk Cousins pass complete short right to Adam Thielen for 5 yards (tackle by Sidney Jones),4.580,4.840
1,9:51,2,5,PHI 10,0,0,Dalvin Cook up the middle for 3 yards (tackle by Malcolm Jenkins),4.840,4.680
1,9:10,3,2,PHI 7,0,0,Dalvin Cook left guard for 2 yards (tackle by Fletcher Cox),4.680,6.060
1,8:19,1,5,PHI 5,0,0,Dalvin Cook up the middle for -1 yards (tackle by Hassan Ridgeway),6.060,4.950
1,7:48,2,6,PHI 6,0,6,"Kirk Cousins pass complete short right to Adam Thielen for 6 yards, touchdown",4.950,7.000
1,7:43,,,PHI 15,0,6,"Penalty on Brian O'Neill: False Start, 5 yards (no play)",1.000,0.000
1,7:43,,,PHI 20,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,7:43,,,MIN 35,0,7,"Dan Bailey kicks off 66 yards, returned by Miles Sanders for 15 yards (tackle by Eric Wilson). Penalty on Rudy Ford: Offensive Holding, 7 yards",0.000,-0.380
1,7:39,1,10,PHI 7,0,7,Jordan Howard up the middle for 5 yards (tackle by Danielle Hunter),-0.380,-0.420
1,6:55,2,5,PHI 12,0,7,Miles Sanders right tackle for 3 yards (tackle by Shamar Stephen),-0.420,-0.480
1,6:12,3,2,PHI 15,0,7,Jordan Howard up the middle for no gain (tackle by Shamar Stephen),-0.480,-2.440
1,5:40,4,2,PHI 15,0,7,"Cameron Johnston punts 47 yards, returned by Marcus Sherels for 6 yards (tackle by Rick Lovato)",-2.440,-1.860
1,5:30,1,10,MIN 44,0,7,Kirk Cousins pass complete short left to Kyle Rudolph for 5 yards (tackle by Vinny Curry),1.860,1.990
1,4:51,2,5,MIN 49,0,7,Kirk Cousins pass complete short right to Stefon Diggs for 18 yards (tackle by Malcolm Jenkins and Zach Brown),1.990,3.380
1,4:23,1,10,PHI 33,0,7,Adam Thielen left end for no gain (tackle by Nathan Gerry),3.380,2.840
1,3:45,2,10,PHI 33,0,7,Dalvin Cook left end for 4 yards (tackle by Nathan Gerry),2.840,2.680
1,3:10,3,6,PHI 29,0,7,"Kirk Cousins left end for 1 yard (tackle by Fletcher Cox and Nigel Bradham). Penalty on Rasul Douglas: Defensive Holding, 5 yards",2.680,4.040
1,2:44,1,10,PHI 23,0,7,Kirk Cousins pass complete short right to Dalvin Cook for 2 yards (tackle by Brandon Graham),4.040,3.770
1,2:08,2,8,PHI 21,0,7,Kirk Cousins pass incomplete deep right intended for Adam Thielen,3.770,3.070
1,2:03,3,8,PHI 21,0,7,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Malcolm Jenkins),3.070,2.060
1,1:57,4,8,PHI 21,0,10,Dan Bailey 39 yard field goal good,2.060,3.000
1,1:54,,,MIN 35,0,10,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,1:54,1,10,PHI 25,0,10,"Carson Wentz up the middle for 7 yards (tackle by Anthony Barr). Penalty on Xavier Rhodes: Defensive Holding, 5 yards",0.610,1.400
1,1:28,1,10,PHI 37,0,10,Jordan Howard left end for 5 yards (tackle by Linval Joseph and Danielle Hunter),1.400,1.530
1,0:52,2,5,PHI 42,0,10,Jordan Howard right guard for 2 yards (tackle by Linval Joseph and Jayron Kearse),1.530,1.090
1,0:08,3,3,PHI 44,0,10,Carson Wentz pass complete short right to Alshon Jeffery for 4 yards (tackle by Eric Kendricks and Mackensie Alexander),1.090,2.130
Quarter,Time,Down,ToGo,Location,PHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 48,0,10,Jordan Howard up the middle for 5 yards (tackle by Eric Kendricks and Linval Joseph),2.130,2.260
2,14:17,2,5,MIN 47,0,10,Carson Wentz pass complete short left to Alshon Jeffery for 7 yards (tackle by Xavier Rhodes),2.260,2.920
2,13:46,1,10,MIN 40,0,10,Miles Sanders left end for 3 yards (tackle by Anthony Barr),2.920,2.780
2,13:06,2,7,MIN 37,0,10,Carson Wentz pass complete short right to Alshon Jeffery for 2 yards (tackle by Eric Kendricks),2.780,2.340
2,12:23,3,5,MIN 35,0,10,Carson Wentz pass incomplete short left intended for Nelson Agholor (defended by Eric Kendricks),2.340,0.980
2,12:15,4,5,MIN 35,3,10,Jake Elliott 53 yard field goal good,0.980,3.000
2,12:10,,,PHI 35,3,10,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,12:10,1,10,MIN 25,3,10,Alexander Mattison left end for 13 yards (tackle by Malcolm Jenkins),0.610,1.470
2,11:47,1,10,MIN 38,3,16,"Kirk Cousins pass complete deep middle to Stefon Diggs for 62 yards, touchdown",1.470,7.000
2,11:39,,,PHI 15,3,17,Dan Bailey kicks extra point good,0.000,0.000
2,11:39,,,MIN 35,3,17,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,11:39,1,10,PHI 25,3,17,Carson Wentz pass complete short right to Dallas Goedert for 9 yards (tackle by Anthony Barr and Anthony Harris),0.610,1.280
2,11:10,2,1,PHI 34,3,17,Carson Wentz pass incomplete short right intended for Zach Ertz,1.280,0.560
2,11:06,3,1,PHI 34,3,17,Carson Wentz pass complete short right to Alshon Jeffery for 9 yards (tackle by Harrison Smith),0.560,1.800
2,10:25,1,10,PHI 43,3,17,Carson Wentz pass complete short left to Dallas Goedert for 8 yards (tackle by Anthony Barr),1.800,2.330
2,9:53,2,2,MIN 49,3,17,Carson Wentz pass incomplete deep right intended for Nelson Agholor,2.330,1.620
2,9:47,3,2,MIN 49,3,17,Carson Wentz pass incomplete short middle intended for Dallas Goedert (defended by Eric Kendricks),1.620,0.000
2,9:43,4,2,MIN 49,3,17,Carson Wentz pass incomplete short right intended for Alshon Jeffery,0.000,-2.190
2,9:39,1,10,MIN 49,3,23,"Kirk Cousins pass complete deep left to Stefon Diggs for 51 yards, touchdown",2.190,7.000
2,9:31,,,PHI 15,3,24,Dan Bailey kicks extra point good,0.000,0.000
2,9:31,,,MIN 35,3,24,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,9:31,1,10,PHI 25,3,24,Jordan Howard left guard for 9 yards (tackle by Jayron Kearse),0.610,1.280
2,8:55,2,1,PHI 34,3,24,Carson Wentz pass complete short left to Dallas Goedert for 11 yards (tackle by Anthony Barr),1.280,1.930
2,8:18,1,10,PHI 45,3,24,Carson Wentz pass complete short right to Dallas Goedert for 7 yards (tackle by Anthony Harris),1.930,2.330
2,7:44,2,3,MIN 48,3,24,Carson Wentz right end for 16 yards (tackle by Harrison Smith),2.330,3.450
2,7:09,1,10,MIN 32,9,24,"Carson Wentz pass complete deep right to Miles Sanders for 32 yards, touchdown",3.450,7.000
2,7:02,,,MIN 15,10,24,Jake Elliott kicks extra point good,0.000,0.000
2,7:02,,,PHI 35,10,24,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
2,7:02,1,10,MIN 25,10,24,Kirk Cousins pass complete short left to Kyle Rudolph for 18 yards (tackle by Rodney McLeod),0.610,1.800
2,6:34,1,10,MIN 43,10,24,Dalvin Cook left end for -1 yards (tackle by Nathan Gerry),1.800,1.120
2,5:57,2,11,MIN 42,10,24,Kirk Cousins pass complete short middle to Adam Thielen for 7 yards (tackle by Nathan Gerry),1.120,1.350
2,5:21,3,4,MIN 49,10,24,Kirk Cousins sacked by Brandon Graham for -8 yards,1.350,-0.650
2,4:41,4,12,MIN 41,10,24,"Britton Colquitt punts 50 yards, returned by Boston Scott for 13 yards (tackle by Tyler Conklin)",-0.650,-0.410
