Unnamed: 0,NWE,CLE
First Downs,24,17
Rush-Yds-TDs,35-98-1,22-27-0
Cmp-Att-Yd-TD-INT,28-41-406-3-0,20-35-249-2-1
Sacked-Yards,1-3,2-14
Net Pass Yards,403,235
Total Yards,501,262
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,5-61,5-35
Third Down Conv.,9-17,5-13
Fourth Down Conv.,0-1,0-1
Time of Possession,34:39,25:21
