Quarter,Time,Tm,Detail,NWE,CLE
1.0,10:28,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),7,0
,6:09,Browns,Andrew Hawkins 11 yard pass from Cody Kessler (Cody Parkey kick),7,7
,2:06,Patriots,Martellus Bennett 7 yard pass from Tom Brady (Stephen Gostkowski kick),14,7
,1:20,Patriots,"Safety, Fumble O.B. in end zone",16,7
2.0,12:10,Patriots,Martellus Bennett 5 yard pass from Tom Brady (Stephen Gostkowski kick),23,7
3.0,12:24,Patriots,Martellus Bennett 37 yard pass from Tom Brady (Stephen Gostkowski kick),30,7
4.0,14:05,Browns,Connor Hamlett 17 yard pass from Charlie Whitehurst (pass failed),30,13
,7:42,Patriots,Stephen Gostkowski 31 yard field goal,33,13
