Quarter,Time,Down,ToGo,Location,NWE,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 55 yards, returned by Tracy Howard for 17 yards (tackle by Nate Ebner)",0.000,-0.740
1,14:57,1,10,CLE 27,0,0,Isaiah Crowell right guard for 3 yards (tackle by Malcom Brown),0.740,0.600
1,14:32,2,7,CLE 30,0,0,Isaiah Crowell right guard for 2 yards (tackle by Alan Branch and Patrick Chung),0.600,0.170
1,13:57,3,5,CLE 32,0,0,Cody Kessler pass incomplete short right intended for Andrew Hawkins,0.170,-1.240
1,13:52,4,5,CLE 32,0,0,Britton Colquitt punts 48 yards,-1.240,-0.280
1,13:41,1,10,NWE 20,0,0,Tom Brady pass complete short right to Julian Edelman for 10 yards (tackle by Joe Haden),0.280,0.940
1,13:11,1,10,NWE 30,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 19 yards (tackle by Christian Kirksey),0.940,2.190
1,12:33,1,10,NWE 49,0,0,LeGarrette Blount right guard for 13 yards (tackle by Jordan Poyer),2.190,3.050
1,11:55,1,10,CLE 38,0,0,Tom Brady pass complete short left to Martellus Bennett for 2 yards (tackle by Ibraheim Campbell),3.050,2.780
1,11:20,2,8,CLE 36,0,0,Tom Brady pass incomplete short right intended for James White,2.780,2.080
1,11:17,3,8,CLE 36,0,0,Tom Brady pass complete short middle to Rob Gronkowski for 34 yards (tackle by Jamar Taylor),2.080,6.740
1,10:49,1,2,CLE 2,0,0,LeGarrette Blount left tackle for 1 yard (tackle by Stephen Paea),6.740,5.910
1,10:32,2,1,CLE 1,6,0,"LeGarrette Blount left end for 1 yard, touchdown",5.910,7.000
1,10:32,,,CLE 1,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,10:32,,,NWE 35,7,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.610
1,10:28,1,10,CLE 25,7,0,Cody Kessler pass complete short right to Andrew Hawkins for 16 yards (tackle by Malcolm Butler),0.610,1.660
1,9:46,1,10,CLE 41,7,0,Cody Kessler pass complete short left to Gary Barnidge for 7 yards (tackle by Rob Ninkovich),1.660,2.070
1,9:02,2,3,CLE 48,7,0,"Isaiah Crowell left end for 1 yard (tackle by Dont'a Hightower). Penalty on Malcom Brown: Defensive Holding, 5 yards (no play)",2.070,2.460
1,8:46,1,10,NWE 47,7,0,Cody Kessler pass incomplete short middle intended for Isaiah Crowell,2.460,1.910
1,8:25,2,10,NWE 47,7,0,Isaiah Crowell left guard for 4 yards (tackle by Malcom Brown and Chris Long),1.910,1.750
1,8:03,3,6,NWE 43,7,0,Cody Kessler pass complete short right to Isaiah Crowell for 18 yards (tackle by Duron Harmon),1.750,3.910
1,7:13,1,10,NWE 25,7,0,Isaiah Crowell right guard for 4 yards (tackle by Alan Branch),3.910,3.900
1,6:38,2,6,NWE 21,7,0,Cody Kessler pass incomplete deep right intended for Terrelle Pryor,3.900,3.200
1,6:31,3,6,NWE 21,7,0,Cody Kessler pass complete short right to Terrelle Pryor for 10 yards. Penalty on Dont'a Hightower: Defensive Holding (Declined),3.200,4.840
1,6:14,1,10,NWE 11,7,6,"Cody Kessler pass complete short left to Andrew Hawkins for 11 yards, touchdown",4.840,7.000
1,6:14,,,NWE 11,7,7,Cody Parkey kicks extra point good,0.000,0.000
1,6:14,,,CLE 35,7,7,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.610
1,6:09,1,10,NWE 25,7,7,"Penalty on Jamar Taylor: Encroachment, 5 yards (no play)",0.610,1.340
1,6:09,1,5,NWE 30,7,7,Tom Brady pass complete short middle to Julian Edelman for 9 yards (tackle by Demario Davis),1.340,1.530
1,5:28,1,10,NWE 39,7,7,LeGarrette Blount left guard for 3 yards (tackle by Jordan Poyer and Danny Shelton),1.530,1.390
1,4:44,2,7,NWE 42,7,7,Tom Brady pass incomplete short left intended for Julian Edelman,1.390,0.700
1,4:41,3,7,NWE 42,7,7,Tom Brady pass complete short middle to Julian Edelman for 12 yards (tackle by Demario Davis),0.700,2.520
1,4:09,1,10,CLE 46,7,7,LeGarrette Blount right tackle for 1 yard (tackle by Christian Kirksey and Jordan Poyer),2.520,2.110
1,3:33,2,9,CLE 45,7,7,Tom Brady pass complete short left to James White for 36 yards (tackle by Joe Haden),2.110,5.140
1,2:50,1,9,CLE 9,7,7,LeGarrette Blount right guard for 2 yards (tackle by Joe Schobert),5.140,4.760
1,2:12,2,7,CLE 7,13,7,"Tom Brady pass complete short right to Martellus Bennett for 7 yards, touchdown",4.760,7.000
1,2:12,,,CLE 7,14,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,2:12,,,NWE 35,14,7,"Stephen Gostkowski kicks off 64 yards, returned by Tracy Howard for 11 yards (tackle by Barkevious Mingo)",0.000,0.350
1,2:01,1,10,CLE 12,14,7,Duke Johnson left guard for -2 yards (tackle by Alan Branch),-0.350,-0.930
1,1:26,2,12,CLE 10,16,7,"Cody Kessler for no gain. Cody Kessler fumbles, safety",-0.930,-2.000
1,1:26,,,CLE 20,16,7,"Britton Colquitt kicks off 53 yards, returned by Julian Edelman for 9 yards (tackle by Briean Boddy-Calhoun)",0.000,-1.330
1,1:13,1,10,NWE 36,16,7,LeGarrette Blount left guard for 4 yards (tackle by Danny Shelton),1.330,1.330
1,0:56,2,6,NWE 40,16,7,Tom Brady pass complete short left to Chris Hogan for 5 yards (tackle by Jamar Taylor),1.330,1.290
1,0:31,3,1,NWE 45,16,7,Tom Brady pass complete short left to Chris Hogan for 3 yards (tackle by Jamar Taylor and Ibraheim Campbell),1.290,2.130
Quarter,Time,Down,ToGo,Location,NWE,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 48,16,7,LeGarrette Blount left tackle for 2 yards (tackle by Christian Kirksey),2.130,1.850
2,14:29,2,8,,16,7,Tom Brady pass complete deep left to Chris Hogan for 43 yards (tackle by Ibraheim Campbell),1.850,5.600
