Unnamed: 0,CLE,BAL
First Downs,18,15
Rush-Yds-TDs,25-117-0,37-162-0
Cmp-Att-Yd-TD-INT,19-33-147-1-1,11-24-132-2-1
Sacked-Yards,2-8,1-10
Net Pass Yards,139,122
Total Yards,256,284
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,6-95,5-51
Third Down Conv.,5-13,7-17
Fourth Down Conv.,0-1,0-0
Time of Possession,27:42,32:18
