Unnamed: 0,ATL,PHI
First Downs,21,21
Rush-Yds-TDs,34-159-0,17-43-0
Cmp-Att-Yd-TD-INT,23-35-256-2-1,23-36-350-3-0
Sacked-Yards,5-37,0-0
Net Pass Yards,219,350
Total Yards,378,393
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,9-99,11-108
Third Down Conv.,7-17,4-11
Fourth Down Conv.,0-2,0-0
Time of Possession,35:18,24:42
