Quarter,Time,Tm,Detail,ATL,PHI
1.0,11:35,Eagles,David Akers 41 yard field goal,0,3
,8:11,Falcons,Warrick Dunn 7 yard pass from Michael Vick (Morten Andersen kick),7,3
,2:52,Eagles,Matt Schobel 14 yard pass from A.J. Feeley (David Akers kick),7,10
2.0,9:03,Falcons,Morten Andersen 45 yard field goal,10,10
,1:50,Eagles,Jason Avant 5 yard pass from A.J. Feeley (David Akers kick),10,17
4.0,13:33,Falcons,Alge Crumpler 9 yard pass from Matt Schaub (Morten Andersen kick),17,17
,13:14,Eagles,Hank Baskett 89 yard pass from A.J. Feeley (David Akers kick),17,24
