Quarter,Time,Tm,Detail,MIN,NYG
1.0,14:19,Vikings,Sidney Rice 60 yard pass from Tarvaris Jackson (Ryan Longwell kick),7,0
,9:25,Giants,Reuben Droughns 1 yard rush (Lawrence Tynes kick),7,7
,3:15,Vikings,Darren Sharper 20 yard interception return (Ryan Longwell kick),14,7
2.0,9:49,Vikings,Chester Taylor 8 yard rush (Ryan Longwell kick),21,7
,3:16,Vikings,Ryan Longwell 46 yard field goal,24,7
3.0,11:07,Giants,Lawrence Tynes 48 yard field goal,24,10
,1:43,Vikings,Ryan Longwell 26 yard field goal,27,10
4.0,13:41,Vikings,Dwight Smith 93 yard interception return (Ryan Longwell kick),34,10
,12:59,Vikings,Chad Greenway 37 yard interception return (Ryan Longwell kick),41,10
,5:54,Giants,Plaxico Burress 6 yard pass from Eli Manning (Lawrence Tynes kick),41,17
