#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,LAR 25,6,3:00,75,Touchdown
2,1,9:56,LAR 17,10,4:21,83,Touchdown
3,1,3:25,LAR 16,9,3:31,79,Field Goal
4,2,8:04,LAR 25,3,1:27,-4,Fumble
5,2,6:28,LAR 10,5,2:24,29,Punt
6,2,0:13,LAR 25,1,0:13,-1,End of Half
7,3,13:27,KAN 46,8,2:35,46,Touchdown
8,3,7:09,LAR 35,9,4:45,50,Field Goal
9,3,0:58,LAR 34,4,2:26,6,Punt
10,4,12:04,LAR 15,3,0:57,-13,Fumble
11,4,11:07,LAR 25,6,1:29,75,Touchdown
12,4,8:09,LAR 16,3,1:36,9,Punt
13,4,2:47,LAR 25,6,0:58,75,Touchdown
14,4,1:18,LAR 35,3,0:28,-1,Punt
15,4,0:13,LAR 33,1,0:13,-1,End of Game
