Quarter,Time,Tm,Detail,KAN,LAR
1.0,12:00,Rams,Robert Woods 7 yard pass from Jared Goff (Greg Zuerlein kick failed),0,6
,5:35,Rams,Josh Reynolds 4 yard pass from Jared Goff (Greg Zuerlein kick),0,13
,3:25,Chiefs,Tyreek Hill 25 yard pass from Patrick Mahomes (Harrison Butker kick),7,13
2.0,14:54,Rams,Greg Zuerlein 23 yard field goal,7,16
,8:04,Chiefs,Harrison Butker 21 yard field goal,10,16
,6:28,Chiefs,Kareem Hunt 21 yard pass from Patrick Mahomes (Harrison Butker kick),17,16
,1:50,Rams,Samson Ebukam 11 yard fumble return (Greg Zuerlein kick),17,23
,0:13,Chiefs,Chris Conley 8 yard pass from Patrick Mahomes (Harrison Butker kick failed),23,23
3.0,10:52,Rams,Jared Goff 7 yard rush (Greg Zuerlein kick),23,30
,7:09,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),30,30
,2:24,Rams,Greg Zuerlein 33 yard field goal,30,33
,2:14,Rams,Samson Ebukam 25 yard interception return (Greg Zuerlein kick),30,40
4.0,12:04,Chiefs,Tyreek Hill 73 yard pass from Patrick Mahomes (Harrison Butker kick),37,40
,11:07,Chiefs,Allen Bailey 2 yard fumble return (Harrison Butker kick),44,40
,9:38,Rams,Gerald Everett 7 yard pass from Jared Goff (Greg Zuerlein kick),44,47
,2:47,Chiefs,Chris Conley 10 yard pass from Patrick Mahomes (Harrison Butker kick),51,47
,1:49,Rams,Gerald Everett 40 yard pass from Jared Goff (Greg Zuerlein kick),51,54
