#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:00,KAN 29,4,2:04,2,Punt
2,1,5:35,KAN 25,4,2:10,75,Touchdown
3,2,14:54,KAN 25,11,6:50,73,Field Goal
4,2,6:37,LAR 21,1,0:09,21,Touchdown
5,2,4:04,KAN 3,5,2:14,8,Fumble
6,2,1:50,KAN 31,7,1:37,69,Touchdown
7,3,15:00,KAN 29,4,1:33,30,Fumble
8,3,10:52,KAN 36,8,3:43,64,Touchdown
9,3,2:24,KAN 25,1,0:10,0,Interception
10,3,2:14,KAN 24,3,1:16,1,Punt
11,4,13:32,KAN 9,3,1:28,91,Touchdown
12,4,9:38,KAN 25,3,1:29,7,Punt
13,4,6:33,KAN 35,8,3:46,65,Touchdown
14,4,1:49,KAN 26,4,0:31,26,Interception
15,4,0:50,KAN 12,4,0:37,14,Interception
