Quarter,Time,Down,ToGo,Location,KAN,LAR,Detail,EPB,EPA
1,9:56,1,10,LAR 17,0,6,Jared Goff pass complete short right to Tyler Higbee for 5 yards (tackle by Ron Parker),-0.060,0.210
1,9:29,2,5,LAR 22,0,6,"Jared Goff pass incomplete short left intended for Brandin Cooks. Penalty on Steven Nelson: Illegal Use of Hands, 5 yards (no play)",0.210,0.740
1,9:21,1,10,LAR 27,0,6,Jared Goff pass incomplete deep middle intended for Brandin Cooks,0.740,0.200
1,9:16,2,10,LAR 27,0,6,Jared Goff pass complete short middle to Josh Reynolds for 14 yards (tackle by Ron Parker),0.200,1.660
1,8:33,1,10,LAR 41,0,6,Jared Goff pass complete short right to Tyler Higbee for 16 yards (tackle by Ron Parker),1.660,2.720
1,8:08,1,10,KAN 43,0,6,Jared Goff pass complete deep left to Robert Woods for 25 yards (tackle by Eric Murray),2.720,4.370
1,7:37,1,10,KAN 18,0,6,Todd Gurley right end for -1 yards (tackle by Kendall Fuller),4.370,3.670
1,7:03,2,11,KAN 19,0,6,Jared Goff pass incomplete deep left intended for Robert Woods,3.670,2.970
1,6:57,3,11,KAN 19,0,6,"Penalty on Dee Ford: Neutral Zone Infraction, 5 yards (no play)",2.970,3.630
1,6:57,,,,,,Timeout #1 by Los Angeles Rams,,
1,6:57,3,6,KAN 14,0,6,Jared Goff pass complete short right to Brandin Cooks for 6 yards (tackle by Steven Nelson),3.630,5.370
1,6:12,1,8,KAN 8,0,6,"Penalty on Derrick Nnadi: Encroachment, 4 yards (no play)",5.370,6.280
1,5:50,1,4,KAN 4,0,6,Jared Goff pass incomplete short right,6.280,5.340
1,5:43,2,4,KAN 4,0,12,"Jared Goff pass complete short right to Josh Reynolds for 4 yards, touchdown. Penalty on Eric Murray: Defensive Holding (Declined)",5.340,7.000
1,5:35,,,KAN 15,0,13,Greg Zuerlein kicks extra point good,0.000,0.000
1,5:35,,,LAR 35,0,13,"Greg Zuerlein kicks off 65 yards, (tackle by KhaDarel Hodge)",0.000,0.610
1,5:30,1,10,KAN 25,0,13,Patrick Mahomes pass complete short right to Travis Kelce for 3 yards (tackle by Mark Barron),0.610,0.470
1,4:54,2,7,KAN 28,0,13,Kareem Hunt up the middle for 27 yards (tackle by John Johnson),0.470,2.590
1,4:16,1,10,LAR 45,0,13,Patrick Mahomes pass complete deep left to Tyreek Hill for 20 yards (tackle by Lamarcus Joyner),2.590,3.910
1,3:33,1,10,LAR 25,6,13,"Patrick Mahomes pass complete deep left to Tyreek Hill for 25 yards, touchdown",3.910,7.000
1,3:25,,,LAR 15,7,13,Harrison Butker kicks extra point good,0.000,0.000
1,3:25,,,KAN 35,7,13,"Harrison Butker kicks off 68 yards, returned by Pharoh Cooper for no gain (tackle by Demarcus Robinson and Charvarius Ward)",0.000,-0.140
1,3:19,1,10,LAR 16,7,13,Malcolm Brown right tackle for 2 yards (tackle by Breeland Speaks),-0.140,-0.350
1,2:48,2,8,LAR 18,7,13,Jared Goff pass complete short middle to Josh Reynolds for 15 yards (tackle by Dorian O'Daniel),-0.350,1.140
1,2:24,1,10,LAR 33,7,13,"Jared Goff pass incomplete deep left intended for Brandin Cooks. Penalty on Orlando Scandrick: Defensive Holding (Declined) . Penalty on Steven Nelson: Defensive Pass Interference, 37 yards (no play)",1.140,3.580
1,2:16,1,10,KAN 30,7,13,Jared Goff pass complete short left to Tyler Higbee for 5 yards (tackle by Eric Murray),3.580,3.710
1,1:42,2,5,KAN 25,7,13,Malcolm Brown right tackle for 8 yards (tackle by Chris Jones),3.710,4.440
1,1:20,1,10,KAN 17,7,13,Jared Goff pass complete short middle to Josh Reynolds for 11 yards (tackle by Eric Murray),4.440,5.830
1,0:52,1,6,KAN 6,7,13,Malcolm Brown left tackle for 1 yard (tackle by Ron Parker and Anthony Hitchens),5.830,5.150
1,0:05,2,5,KAN 5,7,13,Jared Goff pass incomplete short left intended for Josh Reynolds,5.150,4.260
Quarter,Time,Down,ToGo,Location,KAN,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,KAN 5,7,13,Jared Goff pass incomplete short left intended for Gerald Everett (defended by Chris Jones),4.260,3.010
2,14:58,4,5,KAN 5,7,16,Greg Zuerlein 23 yard field goal good,3.010,3.000
2,14:54,,,LAR 35,7,16,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,14:54,1,10,KAN 25,7,16,Kareem Hunt right end for 3 yards (tackle by Cory Littleton),0.610,0.470
2,14:17,2,7,KAN 28,7,16,Patrick Mahomes pass complete short right to Kareem Hunt for 5 yards (tackle by Cory Littleton),0.470,0.430
2,13:34,,,,,,Timeout #2 by Kansas City Chiefs,,
2,13:34,3,2,KAN 33,7,16,Patrick Mahomes pass complete deep right to Tyreek Hill for 26 yards (tackle by Sam Shields),0.430,2.850
2,12:51,1,10,LAR 41,7,16,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,2.850,2.310
2,12:45,2,10,LAR 41,7,16,Patrick Mahomes pass complete deep left to Tyreek Hill for 17 yards,2.310,3.970
2,12:16,1,10,LAR 24,7,16,Kareem Hunt up the middle for 6 yards (tackle by Cory Littleton and Lamarcus Joyner),3.970,4.290
2,11:38,2,4,LAR 18,7,16,"Patrick Mahomes pass complete short middle to Chris Conley for 17 yards (tackle by John Johnson). Penalty on Cameron Erving: Offensive Holding, 10 yards (no play)",4.290,2.890
2,11:11,2,14,LAR 28,7,16,Patrick Mahomes pass complete deep right to Kareem Hunt for 15 yards (tackle by Cory Littleton),2.890,4.710
2,10:41,1,10,LAR 13,7,16,"Patrick Mahomes sacked by Lamarcus Joyner for no gain. Penalty on Troy Hill: Defensive Holding, 5 yards (no play)",4.710,5.370
2,10:13,1,8,LAR 8,7,16,Kareem Hunt up the middle for 1 yard (tackle by John Johnson and Mark Barron),5.370,4.760
2,9:28,2,7,LAR 7,7,16,Patrick Mahomes left tackle for 6 yards (tackle by John Johnson),4.760,5.170
2,8:50,3,1,LAR 1,7,16,Kareem Hunt left end for -1 yards (tackle by John Johnson),5.170,3.250
2,8:09,4,2,LAR 2,10,16,Harrison Butker 21 yard field goal good,3.250,3.000
2,8:04,,,KAN 35,10,16,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,8:04,1,10,LAR 25,10,16,Todd Gurley up the middle for 5 yards (tackle by Xavier Williams),0.610,0.740
2,7:31,2,5,LAR 30,10,16,Jared Goff sacked by Xavier Williams for -8 yards,0.740,-1.020
2,6:50,3,13,LAR 22,10,16,"Jared Goff sacked by Allen Bailey for -1 yards. Jared Goff fumbles (forced by Allen Bailey), recovered by Allen Bailey at LA-21 (tackle by Rob Havenstein)",-1.020,-4.170
2,6:37,1,10,LAR 21,16,16,"Patrick Mahomes pass complete short right to Kareem Hunt for 21 yards, touchdown",4.170,7.000
2,6:28,,,LAR 15,17,16,Harrison Butker kicks extra point good,0.000,0.000
2,6:28,,,KAN 35,17,16,"Harrison Butker kicks off 61 yards, returned by Pharoh Cooper for no gain (tackle by Ben Niemann). Penalty on Ramik Wilson: Offensive Holding, 10 yards",0.000,-0.380
2,6:22,1,10,LAR 10,17,16,Todd Gurley right tackle for 4 yards (tackle by Anthony Hitchens and Xavier Williams),-0.380,-0.460
2,5:39,2,6,LAR 14,17,16,Jared Goff pass complete deep middle to Brandin Cooks for 21 yards (tackle by Steven Nelson),-0.460,1.270
2,5:13,1,10,LAR 35,17,16,Jared Goff pass incomplete deep left intended for Brandin Cooks,1.270,0.720
2,5:06,2,10,LAR 35,17,16,Todd Gurley right end for 4 yards (tackle by Dee Ford and Dorian O'Daniel),0.720,0.560
2,4:25,3,6,LAR 39,17,16,Jared Goff pass incomplete short middle intended for Robert Woods (defended by Kendall Fuller),0.560,-0.780
2,4:18,4,6,LAR 39,17,16,"Johnny Hekker punts 55 yards, returned by Tyreek Hill for no gain (tackle by Malcolm Brown). Penalty on Jordan Lucas: Illegal Block Above the Waist, 3 yards",-0.780,0.380
2,4:04,1,10,KAN 3,17,16,Kareem Hunt up the middle for 3 yards (tackle by Michael Brockers and Aaron Donald),-0.380,-0.560
2,3:29,2,7,KAN 6,17,16,Patrick Mahomes pass complete short right to Tyreek Hill for 6 yards (tackle by Sam Shields),-0.560,-0.370
2,3:08,3,1,KAN 12,17,16,Patrick Mahomes pass complete short left to Tyreek Hill for 8 yards (tackle by Sam Shields),-0.370,0.280
2,2:34,1,10,KAN 20,17,16,Kareem Hunt left tackle for 2 yards (tackle by Samson Ebukam),0.280,0.000
2,2:00,2,8,KAN 22,17,22,"Patrick Mahomes sacked by Aaron Donald for -11 yards. Patrick Mahomes fumbles (forced by Aaron Donald), recovered by Samson Ebukam at KC-11 and returned for 11 yards, touchdown",0.000,-7.000
2,1:50,,,LAR 35,17,23,"Greg Zuerlein kicks off 68 yards, (tackle by Nickell Robey-Coleman)",0.000,1.000
2,1:43,1,10,KAN 31,17,23,Patrick Mahomes pass complete short left to Travis Kelce for 5 yards (tackle by Lamarcus Joyner),1.000,1.140
2,1:22,2,5,KAN 36,17,23,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Marqui Christian),1.140,1.860
2,1:04,1,10,KAN 44,17,23,Patrick Mahomes pass complete short right to Chris Conley for 5 yards (tackle by Troy Hill),1.860,1.990
2,0:42,2,5,KAN 49,17,23,Patrick Mahomes pass complete deep right to Travis Kelce for 37 yards (tackle by Lamarcus Joyner),1.990,4.650
2,0:34,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:34,1,10,LAR 14,17,23,Patrick Mahomes left end for 6 yards (tackle by Lamarcus Joyner),4.650,5.090
2,0:27,2,4,LAR 8,17,23,Patrick Mahomes pass incomplete short right intended for Travis Kelce,5.090,4.280
2,0:20,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:20,3,4,LAR 8,23,23,"Patrick Mahomes pass complete short middle to Chris Conley for 8 yards, touchdown",4.280,7.000
2,0:13,,,LAR 15,23,23,Harrison Butker kicks extra point no good wide left,0.000,-1.000
2,0:13,,,KAN 35,23,23,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,0:13,1,10,LAR 25,23,23,Jared Goff kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,KAN,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,23,23,"Greg Zuerlein kicks off 64 yards, (tackle by Marqui Christian)",0.000,0.870
3,14:55,1,10,KAN 29,23,23,Patrick Mahomes pass complete short left to Chris Conley for 27 yards (tackle by Lamarcus Joyner),0.870,2.650
3,14:40,1,10,LAR 44,23,23,Kareem Hunt up the middle for 3 yards (tackle by Cory Littleton and Dante Fowler),2.650,2.520
3,14:07,2,7,LAR 41,23,23,"Patrick Mahomes pass incomplete short right. Penalty on Mark Barron: Defensive Holding, 5 yards (no play)",2.520,3.180
3,14:01,1,10,LAR 36,23,23,"Patrick Mahomes right end for 6 yards (tackle by Nickell Robey-Coleman). Penalty on Aaron Donald: Illegal Use of Hands, 5 yards",3.180,3.910
3,13:38,1,10,LAR 25,23,23,"Patrick Mahomes sacked by Aaron Donald for -16 yards. Patrick Mahomes fumbles (forced by Aaron Donald), recovered by John Franklin-Myers at KC-46 (tackle by Austin Reiter)",3.910,-2.520
3,13:27,1,10,KAN 46,23,23,Jared Goff pass incomplete short left intended for Robert Woods,2.520,1.980
3,13:22,2,10,KAN 46,23,23,Jared Goff pass incomplete deep left intended for Brandin Cooks (defended by Steven Nelson),1.980,1.290
3,13:12,3,10,KAN 46,23,23,Jared Goff pass complete short left to Josh Reynolds for 9 yards (tackle by Orlando Scandrick),1.290,0.790
3,12:34,,,,,,Timeout #1 by Los Angeles Rams,,
3,12:34,4,1,KAN 37,23,23,"Jared Goff pass complete short left to Tyler Higbee for 12 yards (tackle by Anthony Hitchens). Tyler Higbee fumbles (forced by Anthony Hitchens), recovered by Tyler Higbee at KC-25. Penalty on Anthony Hitchens: Defensive Holding (Declined)",0.790,3.910
3,12:07,1,10,KAN 25,23,23,Jared Goff pass complete short left to Tyler Higbee for 15 yards (tackle by Anthony Hitchens),3.910,4.910
3,11:43,1,10,KAN 10,23,23,Jared Goff pass incomplete short right,4.910,4.190
3,11:36,2,10,KAN 10,23,23,Jared Goff pass complete short left to KhaDarel Hodge for 3 yards (tackle by Steven Nelson),4.190,3.810
3,11:01,3,7,KAN 7,23,29,"Jared Goff up the middle for 7 yards, touchdown",3.810,7.000
3,10:52,,,KAN 15,23,30,Greg Zuerlein kicks extra point good,0.000,0.000
3,10:52,,,LAR 35,23,30,"Greg Zuerlein kicks off 62 yards, (tackle by Bryce Hager)",0.000,1.330
3,10:45,1,10,KAN 36,23,30,Kareem Hunt up the middle for 5 yards (tackle by Mark Barron and Dante Fowler),1.330,1.470
3,10:10,2,5,KAN 41,23,30,Patrick Mahomes pass complete short left to Chris Conley for 7 yards (tackle by Sam Shields),1.470,2.130
3,9:52,1,10,KAN 48,23,30,Kareem Hunt right end for 9 yards (tackle by Cory Littleton),2.130,2.800
3,9:14,2,1,LAR 43,23,30,Kareem Hunt up the middle for 5 yards (tackle by Michael Brockers and Cory Littleton),2.800,3.050
3,8:29,1,10,LAR 38,23,30,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill,3.050,2.510
3,8:25,2,10,LAR 38,23,30,Patrick Mahomes pass complete short right to Travis Kelce for 33 yards (tackle by John Johnson and Lamarcus Joyner),2.510,6.060
3,7:43,1,5,LAR 5,23,30,Patrick Mahomes right end for 1 yard (tackle by Cory Littleton),6.060,5.340
3,7:15,2,4,LAR 4,29,30,"Patrick Mahomes pass complete short middle to Travis Kelce for 4 yards, touchdown",5.340,7.000
3,7:09,,,LAR 15,30,30,Harrison Butker kicks extra point good,0.000,0.000
3,7:09,,,KAN 35,30,30,"Harrison Butker kicks off 63 yards, returned by Pharoh Cooper for no gain (tackle by Marcus Kemp). Penalty on Anthony Sherman: Unnecessary Roughness, 15 yards",0.000,1.270
3,7:04,1,10,LAR 35,30,30,Jared Goff pass complete short left to Todd Gurley for 19 yards (tackle by Ron Parker),1.270,2.520
3,6:35,1,10,KAN 46,30,30,Jared Goff pass complete short left to Todd Gurley for 13 yards (tackle by Dorian O'Daniel),2.520,3.380
3,6:06,1,10,KAN 33,30,30,Jared Goff pass incomplete deep right intended for Robert Woods,3.380,2.840
3,5:59,2,10,KAN 33,30,30,Todd Gurley left tackle for -1 yards (tackle by Chris Jones),2.840,2.010
3,5:17,3,11,KAN 34,30,30,Jared Goff pass complete short right to Brandin Cooks for 13 yards (tackle by Ron Parker),2.010,4.170
3,4:40,1,10,KAN 21,30,30,Malcolm Brown right tackle for 4 yards (tackle by Chris Jones),4.170,4.200
3,3:54,2,6,KAN 17,30,30,Jared Goff sacked by Chris Jones for -3 yards,4.200,3.070
3,3:07,3,9,KAN 20,30,30,Todd Gurley up the middle for 5 yards (tackle by Justin Houston),3.070,2.520
3,2:29,4,4,KAN 15,30,33,Greg Zuerlein 33 yard field goal good,2.520,3.000
3,2:24,,,LAR 35,30,33,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,2:24,1,10,KAN 25,30,39,"Patrick Mahomes pass short right intended for Demetrius Harris is intercepted by Samson Ebukam at KC-25 and returned for 25 yards, touchdown",0.610,-7.000
3,2:14,,,LAR 35,30,40,"Greg Zuerlein kicks off 62 yards, (tackle by Greg Zuerlein). Penalty on Spencer Ware: Illegal Block Above the Waist, 10 yards",0.000,0.540
3,2:06,1,10,KAN 24,30,40,Kareem Hunt right end for 1 yard (tackle by Ethan Westbrooks and Samson Ebukam),0.540,0.130
3,1:25,2,9,KAN 25,30,40,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill (defended by Ethan Westbrooks),0.130,-0.560
3,1:21,3,9,KAN 25,30,40,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill (defended by Lamarcus Joyner),-0.560,-1.700
3,1:13,4,9,KAN 25,30,40,Dustin Colquitt punts 41 yards downed by Marcus Kemp,-1.700,-1.200
3,0:58,1,10,LAR 34,30,40,Todd Gurley up the middle for 24 yards (tackle by Ron Parker and Steven Nelson),1.200,2.790
3,0:19,1,10,KAN 42,30,40,"Jared Goff pass complete short left to Todd Gurley for 11 yards (tackle by Ron Parker). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",2.790,2.130
Quarter,Time,Down,ToGo,Location,KAN,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,LAR 48,30,40,Jared Goff sacked by Chris Jones for -10 yards. Penalty on Andrew Whitworth: Offensive Holding (Declined),2.130,-0.460
4,14:31,2,30,LAR 38,30,40,Jared Goff pass incomplete deep middle intended for Brandin Cooks,-0.460,-1.090
4,14:25,3,30,LAR 38,30,40,Todd Gurley up the middle for 2 yards (tackle by Chris Jones),-1.090,-0.720
4,13:45,4,28,LAR 40,30,40,"Johnny Hekker punts 59 yards, returned by Tyreek Hill for 8 yards (tackle by Blake Countess)",-0.720,0.380
4,13:32,1,10,KAN 9,30,40,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by Mark Barron),-0.380,-0.160
4,12:51,2,3,KAN 16,30,40,Patrick Mahomes pass complete short middle to Tyreek Hill for 11 yards (tackle by John Johnson),-0.160,0.740
4,12:15,1,10,KAN 27,36,40,"Patrick Mahomes pass complete deep middle to Tyreek Hill for 73 yards, touchdown. Penalty on Tyreek Hill: Taunting, 15 yards",0.740,7.000
4,12:04,,,LAR 15,37,40,Harrison Butker kicks extra point good,0.000,0.000
4,12:04,,,KAN 20,37,40,"Harrison Butker kicks off 80 yards, returned by Pharoh Cooper for no gain (tackle by Marcus Kemp). Penalty on Justin Lawler: Offensive Holding, 10 yards",0.000,-0.220
4,11:57,1,10,LAR 15,37,40,Todd Gurley left end for -1 yards (tackle by Justin Houston),-0.220,-0.820
4,11:20,2,11,LAR 14,37,40,Jared Goff pass incomplete deep right intended for Robert Woods,-0.820,-1.510
4,11:16,,,,,,Timeout #2 by Los Angeles Rams,,
4,11:16,3,11,LAR 14,43,40,"Jared Goff sacked by Justin Houston for -12 yards. Jared Goff fumbles (forced by Justin Houston), recovered by Allen Bailey at LA-2 and returned for 2 yards, touchdown",-1.510,-7.000
4,11:07,,,KAN 35,44,40,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,11:07,1,10,LAR 25,44,40,Todd Gurley left tackle for 5 yards (tackle by Kendall Fuller),0.610,0.740
4,10:47,2,5,LAR 30,44,40,Jared Goff pass complete short left to Josh Reynolds for 27 yards (tackle by Steven Nelson),0.740,2.720
4,10:24,1,10,KAN 43,44,40,Jared Goff pass complete deep left to Robert Woods for 36 yards (tackle by Eric Murray),2.720,5.600
4,9:52,1,7,KAN 7,44,40,Jared Goff pass incomplete short left intended for Robert Woods,5.600,4.760
4,9:49,2,7,KAN 7,44,40,Jared Goff pass incomplete short right intended for Robert Woods,4.760,3.810
4,9:44,3,7,KAN 7,44,46,"Jared Goff pass complete short middle to Gerald Everett for 7 yards, touchdown",3.810,7.000
4,9:38,,,KAN 15,44,47,Greg Zuerlein kicks extra point good,0.000,0.000
4,9:38,,,LAR 35,44,47,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,9:38,1,10,KAN 25,44,47,Patrick Mahomes pass complete short left to Travis Kelce for 4 yards (tackle by Troy Hill),0.610,0.600
4,9:00,2,6,KAN 29,44,47,Patrick Mahomes pass complete short right to Tyreek Hill for 3 yards (tackle by Sam Shields),0.600,0.300
4,8:21,3,3,KAN 32,44,47,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,0.300,-1.240
4,8:18,4,3,KAN 32,44,47,"Dustin Colquitt punts 52 yards, fair catch by Jojo Natson at LA-16",-1.240,0.140
4,8:09,1,10,LAR 16,44,47,Brandin Cooks left end for no gain (tackle by Eric Murray),-0.140,-0.660
4,7:45,2,10,LAR 16,44,47,Jared Goff pass incomplete short right,-0.660,-1.320
4,7:42,3,10,LAR 16,44,47,Jared Goff pass complete short right to Brandin Cooks for 9 yards (tackle by Kendall Fuller),-1.320,-1.700
4,6:44,4,1,LAR 25,44,47,Johnny Hekker punts 40 yards downed by Dominique Hatfield,-1.700,-1.270
4,6:33,1,10,KAN 35,44,47,Kareem Hunt left end for 4 yards (tackle by Aaron Donald and Ndamukong Suh),1.270,1.260
4,5:59,2,6,KAN 39,44,47,Patrick Mahomes sacked by Samson Ebukam for -3 yards,1.260,0.170
4,5:15,3,9,KAN 36,44,47,Patrick Mahomes right end for 7 yards (tackle by John Johnson),0.170,-0.520
4,4:37,,,,,,Timeout #3 by Los Angeles Rams,,
4,4:37,4,2,KAN 43,44,47,Patrick Mahomes pass complete short middle to Travis Kelce for 18 yards (tackle by Mark Barron),-0.520,2.980
4,3:51,1,10,LAR 39,44,47,Patrick Mahomes up the middle for 2 yards (tackle by Ethan Westbrooks),2.980,2.710
4,3:12,2,8,LAR 37,44,47,Patrick Mahomes pass complete short left to Demarcus Robinson for 14 yards (tackle by Sam Shields),2.710,4.040
4,3:05,1,10,LAR 23,44,47,"Patrick Mahomes pass complete short right to Demetrius Harris for 3 yards (tackle by Mark Barron and Troy Hill). Penalty on Troy Hill: Lowering the Head to Initiate Contact, 10 yards",4.040,4.910
4,2:55,1,10,LAR 10,50,47,"Patrick Mahomes pass complete short right to Chris Conley for 10 yards, touchdown",4.910,7.000
4,2:47,,,LAR 15,51,47,Harrison Butker kicks extra point good,0.000,0.000
4,2:47,,,KAN 35,51,47,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
4,2:47,1,10,LAR 25,51,47,Jared Goff up the middle for 1 yard (tackle by Dee Ford),0.610,0.200
4,2:19,2,9,LAR 26,51,47,Jared Goff pass incomplete deep right intended for Josh Reynolds (defended by Orlando Scandrick),0.200,-0.490
4,2:13,3,9,LAR 26,51,47,Jared Goff pass complete short right to Brandin Cooks for 22 yards (tackle by Ron Parker),-0.490,2.130
4,2:07,1,10,LAR 48,51,47,Jared Goff pass complete short right to Gerald Everett for 2 yards (tackle by Daniel Sorensen),2.130,1.850
4,2:01,2,8,LAR 50,51,47,Jared Goff pass complete short left to Tyler Higbee for 10 yards (tackle by Daniel Sorensen),1.850,2.920
4,1:56,1,10,KAN 40,51,53,"Jared Goff pass complete deep right to Gerald Everett for 40 yards, touchdown",2.920,7.000
4,1:49,,,KAN 15,51,54,Greg Zuerlein kicks extra point good,0.000,0.000
4,1:49,,,LAR 35,51,54,"Greg Zuerlein kicks off 67 yards, (tackle by Bryce Hager)",0.000,0.670
4,1:44,1,10,KAN 26,51,54,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,0.670,0.130
4,1:40,2,10,KAN 26,51,54,Patrick Mahomes pass incomplete deep middle intended for Demarcus Robinson,0.130,-0.560
4,1:35,3,10,KAN 26,51,54,Patrick Mahomes pass complete deep right to Tyreek Hill for 26 yards,-0.560,2.390
4,1:28,1,10,LAR 48,51,54,Patrick Mahomes pass deep right intended for Chris Conley is intercepted by Marcus Peters at LA-26 and returned for 9 yards,2.390,-1.270
4,1:18,1,10,LAR 35,51,54,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",1.270,0.940
4,1:18,1,15,LAR 30,51,54,Jared Goff pass complete short left to Robert Woods for 4 yards,0.940,0.590
4,1:11,,,,,,Timeout #1 by Kansas City Chiefs,,
4,1:11,2,11,LAR 34,51,54,Jared Goff pass incomplete short right intended for Tyler Higbee (defended by Ron Parker),0.590,-0.100
4,1:08,3,11,LAR 34,51,54,Jared Goff pass complete short left to Brandin Cooks for no gain (tackle by Justin Houston),-0.100,-1.110
4,1:04,,,,,,Timeout #2 by Kansas City Chiefs,,
4,1:04,4,11,LAR 34,51,54,"Johnny Hekker punts 68 yards, returned by Tyreek Hill for 14 yards (tackle by Jake McQuaide)",-1.110,0.350
4,0:50,1,10,KAN 12,51,54,Patrick Mahomes pass incomplete short left intended for Travis Kelce,-0.350,-0.780
4,0:46,2,10,KAN 12,51,54,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by John Johnson),-0.780,-0.480
4,0:30,3,2,KAN 20,51,54,Patrick Mahomes pass complete short left to Chris Conley for 6 yards (tackle by John Johnson),-0.480,0.670
4,0:25,,,,,,Timeout #3 by Kansas City Chiefs,,
4,0:25,1,10,KAN 26,51,54,Patrick Mahomes pass deep right intended for Tyreek Hill is intercepted by Lamarcus Joyner at LA-28 and returned for 5 yards,0.670,-1.140
4,0:13,1,10,LAR 33,51,54,Jared Goff kneels for -1 yards,1.140,0.460
