Unnamed: 0,PHI,DAL
First Downs,6,28
Rush-Yds-TDs,9-19-0,46-167-0
Cmp-Att-Yd-TD-INT,16-30-145-0-0,24-35-289-3-0
Sacked-Yards,4-35,0-0
Net Pass Yards,110,289
Total Yards,129,456
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,8-54,5-48
Third Down Conv.,2-12,6-16
Fourth Down Conv.,0-1,2-3
Time of Possession,19:17,40:43
