Unnamed: 0,HOU,BUF
First Downs,12,20
Rush-Yds-TDs,23-95-1,36-152-0
Cmp-Att-Yd-TD-INT,9-21-70-0-3,17-28-170-1-0
Sacked-Yards,5-45,1-6
Net Pass Yards,25,164
Total Yards,120,316
Fumbles-Lost,2-2,0-0
Turnovers,5,0
Penalties-Yards,6-38,10-71
Third Down Conv.,3-10,3-14
Fourth Down Conv.,1-1,1-1
Time of Possession,21:45,38:15
