Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,Charlie Frye pass incomplete short left intended for Johnnie Lee Higgins,0.280,-0.270
1,14:57,2,10,OAK 20,0,0,Justin Fargas left guard for 3 yards (tackle by D.J. Williams),-0.270,-0.560
1,14:12,3,7,OAK 23,0,0,Charlie Frye pass complete short left to Chaz Schilens for 6 yards (tackle by Andre' Goodman),-0.560,-1.440
1,13:34,4,1,OAK 29,0,0,"Shane Lechler punts 49 yards, returned by Eddie Royal for 13 yards (tackle by Gary Russell)",-1.440,-1.270
1,13:22,1,10,DEN 35,0,0,Knowshon Moreno right tackle for 3 yards (tackle by Tyvon Branch),1.270,1.130
1,12:47,2,7,DEN 38,0,0,Kyle Orton pass incomplete short right intended for Knowshon Moreno,1.130,0.430
1,12:42,3,7,DEN 38,0,0,"Penalty on Daniel Graham: False Start, 5 yards (no play)",0.430,-0.230
1,12:42,3,12,DEN 33,0,0,Kyle Orton pass complete deep left to Eddie Royal for 18 yards (tackle by Tyvon Branch and Chris Johnson),-0.230,2.320
1,12:10,1,10,OAK 49,0,0,Knowshon Moreno middle for 8 yards (tackle by Tyvon Branch),2.320,2.860
1,11:36,2,2,OAK 41,0,0,Knowshon Moreno right tackle for 7 yards (tackle by Nnamdi Asomugha),2.860,3.310
1,11:01,1,10,OAK 34,0,0,Kyle Orton pass complete short left to Knowshon Moreno for 21 yards (tackle by Michael Huff),3.310,4.710
1,10:19,1,10,OAK 13,0,0,LaMont Jordan middle for 6 yards (tackle by Desmond Bryant and Tyvon Branch),4.710,5.150
1,9:58,2,4,OAK 7,0,0,Kyle Orton middle for 1 yard (tackle by Desmond Bryant),5.150,4.560
1,9:24,3,3,OAK 6,0,0,Knowshon Moreno left guard for 1 yard (tackle by Kirk Morrison),4.560,3.030
1,8:45,4,2,OAK 5,0,3,Matt Prater 23 yard field goal good,3.030,3.000
1,,,,DEN 30,0,3,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,8:40,1,10,OAK 20,0,3,Charlie Frye pass complete short left to Chaz Schilens for 4 yards (tackle by Andre' Goodman),0.280,0.270
1,8:04,2,6,OAK 24,0,3,Darren McFadden left guard for 3 yards (tackle by Kenny Peterson and Elvis Dumervil),0.270,-0.030
1,7:19,3,3,OAK 27,0,3,Charlie Frye pass incomplete deep right intended for Johnnie Lee Higgins is intercepted by Champ Bailey at DEN-48 and returned for 11 yards,-0.030,-2.850
1,7:07,1,10,OAK 41,0,3,Kyle Orton pass complete deep right to Brandon Marshall for 24 yards (tackle by Michael Huff),2.850,4.440
1,6:43,1,10,OAK 17,0,3,Knowshon Moreno left guard for 5 yards (tackle by Michael Huff),4.440,4.690
1,6:07,2,5,OAK 12,0,3,"Kyle Orton pass complete short left to Ryan Clady for -3 yards (tackle by Nnamdi Asomugha). Penalty on Ryan Clady: Illegal Touch Pass, 5 yards (no play)",4.690,3.850
1,5:23,2,10,OAK 17,0,3,Kyle Orton sacked by Matt Shaughnessy for -5 yards,3.850,2.540
1,4:53,3,15,OAK 22,0,3,Kyle Orton pass complete short right to Eddie Royal for -3 yards (tackle by Stanford Routt),2.540,1.800
1,4:15,4,18,OAK 25,0,6,Matt Prater 43 yard field goal good,1.800,3.000
1,,,,DEN 30,0,6,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
1,4:10,1,10,OAK 20,0,6,"Charlie Frye pass incomplete. Penalty on Charlie Frye: Intentional Grounding, 15 yards",0.280,-1.880
1,4:03,2,25,OAK 5,0,6,Justin Fargas right guard for -1 yards (tackle by Ronald Fields),-1.880,-3.290
1,3:26,3,26,OAK 4,0,6,Justin Fargas left tackle for 6 yards (tackle by David Bruton),-3.290,-2.490
1,2:50,4,20,OAK 10,0,6,"Shane Lechler punts 65 yards, returned by Kenny McKinley for 14 yards (tackle by Jon Condo)",-2.490,-1.530
1,2:36,1,10,DEN 39,0,6,Knowshon Moreno left end for 7 yards (tackle by Kirk Morrison),1.530,1.930
1,1:58,2,3,DEN 46,0,6,Knowshon Moreno left tackle for 8 yards (tackle by Chris Johnson),1.930,2.520
1,1:26,1,10,OAK 46,0,6,Kyle Orton pass incomplete short left intended for Knowshon Moreno,2.520,1.980
1,1:21,2,10,OAK 46,0,6,LaMont Jordan left tackle for 5 yards (tackle by Kirk Morrison),1.980,1.950
1,0:49,3,5,OAK 41,0,6,Kyle Orton pass incomplete deep left intended for Eddie Royal (defended by Chris Johnson),1.950,0.530
1,0:44,4,5,OAK 41,0,6,Mitch Berger punts 7 yards,0.530,-1.200
1,0:35,1,10,OAK 34,0,6,Charlie Frye left end for 26 yards (tackle by David Bruton),1.200,2.920
Quarter,Time,Down,ToGo,Location,OAK,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 40,0,6,"Charlie Frye pass incomplete deep right intended for Louis Murphy (defended by Tony Carter). Penalty on Andra Davis: Illegal Contact, 5 yards (no play)",2.920,3.250
