Unnamed: 0,OAK,DEN
First Downs,22,19
Rush-Yds-TDs,34-241-1,28-80-0
Cmp-Att-Yd-TD-INT,14-29-115-1-1,19-34-278-1-0
Sacked-Yards,1-13,3-21
Net Pass Yards,102,257
Total Yards,343,337
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,9-62,7-72
Third Down Conv.,4-13,4-15
Fourth Down Conv.,1-2,1-1
Time of Possession,31:26,28:34
