Quarter,Time,Tm,Detail,OAK,DEN
1.0,8:40,Broncos,Matt Prater 23 yard field goal,0,3
,4:10,Broncos,Matt Prater 43 yard field goal,0,6
2.0,13:01,Raiders,Michael Bush 23 yard rush (Sebastian Janikowski kick),7,6
,6:40,Raiders,Sebastian Janikowski 54 yard field goal,10,6
,0:32,Raiders,Sebastian Janikowski 28 yard field goal,13,6
3.0,10:07,Broncos,Matt Prater 51 yard field goal,13,9
,3:48,Broncos,Brandon Marshall 6 yard pass from Kyle Orton (Matt Prater kick),13,16
4.0,5:54,Broncos,Matt Prater 21 yard field goal,13,19
,0:35,Raiders,Chaz Schilens 10 yard pass from JaMarcus Russell (Sebastian Janikowski kick),20,19
