Quarter,Time,Tm,Detail,HOU,TEN
1.0,13:01,Texans,Quintin Demps 33 yard defensive fumble return (Nick Novak kick),7,0
,3:19,Texans,Nick Novak 22 yard field goal,10,0
2.0,2:32,Texans,Brandon Weeden 7 yard rush (Nick Novak kick),17,0
3.0,11:33,Texans,DeAndre Hopkins 15 yard pass from Brandon Weeden (Nick Novak kick),24,0
,6:12,Texans,Nate Washington 13 yard pass from Brandon Weeden (Nick Novak kick),31,0
,0:54,Texans,Nick Novak 36 yard field goal,34,0
4.0,1:31,Titans,Tre McBride 1 yard pass from Zach Mettenberger (pass failed),34,6
