Unnamed: 0,JAX,SFO
First Downs,32,26
Rush-Yds-TDs,28-92-2,35-131-3
Cmp-Att-Yd-TD-INT,32-50-382-2-3,21-30-242-2-1
Sacked-Yards,1-2,1-4
Net Pass Yards,380,238
Total Yards,472,369
Fumbles-Lost,1-0,0-0
Turnovers,3,1
Penalties-Yards,12-99,8-68
Third Down Conv.,5-13,10-15
Fourth Down Conv.,2-2,0-0
Time of Possession,30:49,29:11
