Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Josh Lambo kicks off 62 yards, returned by Matt Breida for 18 yards (tackle by Jarrod Wilson)",0.000,-0.340
1,14:55,1,10,SFO 21,0,0,Carlos Hyde left tackle for -1 yards (tackle by Abry Jones),0.340,-0.340
1,14:21,2,11,SFO 20,0,0,Jimmy Garoppolo pass complete short left to Marquise Goodwin for 9 yards (tackle by Jalen Ramsey),-0.340,0.170
1,13:45,3,2,SFO 29,0,0,Jimmy Garoppolo pass complete short middle to George Kittle for 13 yards (tackle by Barry Church),0.170,1.730
1,13:09,1,10,SFO 42,0,0,Carlos Hyde left tackle for 3 yards (tackle by Malik Jackson),1.730,1.590
1,12:35,2,7,SFO 45,0,0,Jimmy Garoppolo pass incomplete deep left intended for Kendrick Bourne,1.590,0.890
1,12:28,3,7,SFO 45,0,0,Jimmy Garoppolo pass complete short middle to Marquise Goodwin for 24 yards (tackle by A.J. Bouye),0.890,3.510
1,11:51,1,10,JAX 31,0,0,Matt Breida left tackle for 1 yard (tackle by Paul Posluszny and Dawuane Smoot),3.510,3.100
1,11:24,2,9,JAX 30,0,0,Jimmy Garoppolo pass complete short left to Aldrick Robinson for 12 yards (tackle by A.J. Bouye),3.100,4.370
1,10:58,1,10,JAX 18,0,0,Jimmy Garoppolo pass complete short left to Kyle Juszczyk for 17 yards (tackle by Jalen Ramsey and Telvin Smith),4.370,6.970
1,10:20,1,1,JAX 1,0,6,"Jimmy Garoppolo middle for 1 yard, touchdown",6.970,7.000
1,10:18,,,JAX 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,10:18,,,SFO 35,0,7,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,10:18,1,10,JAX 25,0,7,Leonard Fournette middle for -1 yards (tackle by Reuben Foster),0.610,-0.070
1,9:46,2,11,JAX 24,0,7,Blake Bortles pass incomplete short left intended for Jaydon Mickens (defended by K'Waun Williams),-0.070,-0.760
1,9:42,3,11,JAX 24,0,7,Blake Bortles pass incomplete deep right intended for Dede Westbrook,-0.760,-1.770
1,9:38,4,11,JAX 24,0,7,"Brad Nortman punts 47 yards, returned by Trent Taylor for 8 yards (tackle by Blair Brown)",-1.770,-1.400
1,9:26,1,10,SFO 37,0,7,Carlos Hyde left end for 4 yards (tackle by Calais Campbell),1.400,1.400
1,8:51,2,6,SFO 41,0,7,Carlos Hyde left guard for 5 yards (tackle by Paul Posluszny),1.400,1.360
1,8:07,3,1,SFO 46,0,7,Carlos Hyde left guard for 1 yard (tackle by Calais Campbell),1.360,2.060
1,7:34,1,10,SFO 47,0,7,Jimmy Garoppolo pass complete short middle to Louis Murphy for 17 yards (tackle by Telvin Smith),2.060,3.180
1,7:10,1,10,JAX 36,0,7,Jimmy Garoppolo pass complete short left to George Kittle for 21 yards (tackle by Tashaun Gipson),3.180,4.580
1,6:32,1,10,JAX 15,0,7,Matt Breida right end for 6 yards (tackle by Tashaun Gipson),4.580,5.030
1,5:55,2,4,JAX 9,0,7,Jimmy Garoppolo pass incomplete short right intended for Kendrick Bourne,5.030,4.220
1,5:49,3,4,JAX 9,0,7,Jimmy Garoppolo pass incomplete short left intended for Kendrick Bourne (defended by Calais Campbell),4.220,2.900
1,5:46,4,4,JAX 9,0,10,Robbie Gould 27 yard field goal good,2.900,3.000
1,5:42,,,SFO 35,0,10,"Bradley Pinion kicks off 65 yards, touchback",0.000,-0.610
1,5:42,1,10,JAX 25,0,10,Blake Bortles pass complete short left to Leonard Fournette for 7 yards (tackle by Brock Coyle),0.610,1.010
1,5:27,2,3,JAX 32,0,10,"Leonard Fournette middle for 6 yards (tackle by Dontae Johnson and Brock Coyle). Penalty on Earl Mitchell: Defensive Holding, 5 yards",1.010,1.800
1,4:58,1,10,JAX 43,0,10,Leonard Fournette right guard for 5 yards (tackle by DeForest Buckner),1.800,1.930
1,4:26,2,5,JAX 48,0,10,Blake Bortles pass complete short middle to Keelan Cole for 11 yards (tackle by K'Waun Williams),1.930,2.850
1,3:52,1,10,SFO 41,0,10,T.J. Yeldon left guard for 2 yards (tackle by Reuben Foster),2.850,2.580
1,3:16,2,8,SFO 39,0,10,Leonard Fournette left tackle for -1 yards (tackle by Sheldon Day and Solomon Thomas),2.580,1.750
1,2:31,3,9,SFO 40,0,10,Blake Bortles pass incomplete deep middle intended for Dede Westbrook,1.750,0.590
1,2:23,4,9,SFO 40,0,10,"Brad Nortman punts 40 yards, touchback",0.590,-0.280
1,2:16,1,10,SFO 20,0,10,Carlos Hyde middle for 6 yards (tackle by A.J. Bouye),0.280,0.540
1,1:40,2,4,SFO 26,0,10,Carlos Hyde right end for no gain (tackle by Myles Jack),0.540,-0.160
1,1:00,3,4,SFO 26,0,10,Jimmy Garoppolo pass complete short right to Kendrick Bourne for 12 yards (tackle by Barry Church),-0.160,1.470
1,0:34,1,10,SFO 38,0,10,Matt Breida right tackle for 6 yards (tackle by Aaron Colvin),1.470,1.730
Quarter,Time,Down,ToGo,Location,JAX,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SFO 44,0,10,Jimmy Garoppolo pass complete short right to Kyle Juszczyk for 3 yards (tackle by Jalen Ramsey),1.730,0.000
2,14:20,,,,,,Timeout #1 by San Francisco 49ers,0.000,-1.420
2,14:17,3,1,SFO 47,0,10,Carlos Hyde left tackle for no gain (tackle by Calais Campbell and Telvin Smith),1.420,-0.260
2,13:37,4,1,SFO 47,0,10,"Penalty on Tyvis Powell: False Start, 5 yards (no play)",-0.260,-0.590
