Unnamed: 0,NYG,PHI
First Downs,13,17
Rush-Yds-TDs,19-61-0,26-148-2
Cmp-Att-Yd-TD-INT,20-33-147-2-3,24-38-258-0-0
Sacked-Yards,0-0,3-14
Net Pass Yards,147,244
Total Yards,208,392
Fumbles-Lost,4-2,4-2
Turnovers,5,2
Penalties-Yards,6-54,10-119
Third Down Conv.,5-11,3-14
Fourth Down Conv.,0-1,2-2
Time of Possession,25:56,34:04
