Quarter,Time,Tm,Detail,CAR,SEA
1.0,5:37,Seahawks,Stephen Hauschka 30 yard field goal,0,3
2.0,13:30,Panthers,Cam Newton 2 yard rush (Graham Gano kick),7,3
,8:00,Seahawks,Marshawn Lynch 1 yard rush (Stephen Hauschka kick),7,10
3.0,11:27,Seahawks,Ricardo Lockette 40 yard pass from Russell Wilson (Stephen Hauschka kick),7,17
,8:49,Seahawks,Stephen Hauschka 50 yard field goal,7,20
,3:34,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),14,20
4.0,11:46,Seahawks,Stephen Hauschka 43 yard field goal,14,23
,3:55,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick failed),20,23
,0:32,Panthers,Greg Olsen 26 yard pass from Cam Newton (Graham Gano kick),27,23
