Unnamed: 0,ARI,SFO
First Downs,23,18
Rush-Yds-TDs,27-151-4,29-105-1
Cmp-Att-Yd-TD-INT,24-36-286-0-3,18-28-252-4-0
Sacked-Yards,3-17,1-0
Net Pass Yards,269,252
Total Yards,420,357
Fumbles-Lost,4-1,1-0
Turnovers,4,0
Penalties-Yards,7-65,3-25
Third Down Conv.,9-12,6-12
Fourth Down Conv.,1-1,1-1
Time of Possession,32:27,27:33
