Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,SFO 25,0,0,"Jose Cortez kicks off 61 yards, returned by MarTay Jenkins for 22 yards (tackle by Jamal Robertson)",0.000,1.330
1,14:55,1,10,ARI 36,0,0,"Jake Plummer sacked by Andre Carter for -3 yards. Jake Plummer fumbles (forced by Andre Carter), recovered by Dana Stubblefield at ARI-33",1.330,-3.380
1,14:48,1,10,ARI 33,0,0,Jeff Garcia pass complete to Garrison Hearst for 3 yards (tackle by Raynoch Thompson),3.380,3.240
1,14:03,2,7,ARI 30,0,0,Jeff Garcia pass incomplete intended for Cedrick Wilson,3.240,2.540
1,13:57,3,7,ARI 30,0,0,Jeff Garcia pass complete to Garrison Hearst for 3 yards (tackle by LeVar Woods),2.540,1.750
1,13:18,4,4,ARI 27,0,3,Jose Cortez 45 yard field goal good,1.750,3.000
1,13:18,,,SFO 30,0,3,"Jose Cortez kicks off 70 yards, returned by MarTay Jenkins for 36 yards (tackle by Jose Cortez)",0.000,1.330
1,13:02,1,10,ARI 36,0,3,Thomas Jones right end for 1 yard (tackle by Jeff Ulbrich),1.330,0.930
1,12:23,2,9,ARI 37,0,3,Thomas Jones middle for 4 yards (tackle by Jeff Ulbrich and Dana Stubblefield),0.930,0.760
1,11:46,3,5,ARI 41,0,3,Jake Plummer pass incomplete intended for David Boston (defended by Ahmed Plummer),0.760,-0.650
1,11:41,4,5,ARI 41,0,3,"Scott Player punts 32 yards, fair catch by Jimmy Williams",-0.650,-0.740
1,11:33,1,10,SFO 27,0,3,Kevan Barlow right tackle for 5 yards (tackle by Fred Wakefield),0.740,0.870
1,10:57,2,5,SFO 32,0,3,Jeff Garcia pass complete to Tai Streets for 15 yards (tackle by Kyle Vanden Bosch),0.870,2.060
1,10:16,1,10,SFO 47,0,3,Kevan Barlow middle for 6 yards (tackle by Kwamie Lassiter),2.060,2.330
1,9:31,2,4,ARI 47,0,3,Jeff Garcia pass complete to Kevan Barlow for 15 yards (tackle by Ronald McKinnon),2.330,3.450
1,9:02,1,10,ARI 32,0,3,Kevan Barlow middle for -1 yards (tackle by Kyle Vanden Bosch),3.450,2.770
1,8:23,2,11,ARI 33,0,3,Jeff Garcia pass complete to Terrell Owens for 12 yards (tackle by Rob Fredrickson),2.770,4.170
1,7:38,1,10,ARI 21,0,3,Jeff Garcia pass incomplete intended for Tai Streets (defended by David Barrett),4.170,3.630
1,7:29,2,10,ARI 21,0,3,Jeff Garcia pass incomplete intended for Justin Swift,3.630,2.940
1,7:26,3,10,ARI 21,0,9,"Jeff Garcia pass complete to Terrell Owens for 21 yards, touchdown",2.940,7.000
1,7:26,,,ARI 21,0,10,Jose Cortez kicks extra point good,0.000,0.000
1,7:26,,,SFO 30,0,10,"Jose Cortez kicks off 64 yards, returned by MarTay Jenkins for 16 yards (tackle by James Jordan)",0.000,0.410
1,7:11,1,10,ARI 22,0,10,Jake Plummer pass complete to Freddie Jones for 8 yards (tackle by Jeff Ulbrich),0.410,0.950
1,6:38,2,2,ARI 30,0,10,Thomas Jones right tackle for 2 yards (tackle by Tony Parrish),0.950,1.070
1,6:02,1,10,ARI 32,0,10,Thomas Jones left tackle for 3 yards (tackle by Andre Carter),1.070,0.930
1,5:21,2,7,ARI 35,0,10,Jake Plummer pass incomplete intended for David Boston is intercepted by Ronnie Heard at SFO-32 and returned for 17 yards,0.930,-2.190
1,5:08,1,10,SFO 49,0,10,Garrison Hearst middle for 4 yards (tackle by Marcus Bell),2.190,2.190
1,4:29,2,6,ARI 47,0,10,Jeff Garcia pass incomplete intended for Garrison Hearst,2.190,1.490
1,4:21,3,6,ARI 47,0,16,"Jeff Garcia pass complete to Tai Streets for 47 yards, touchdown",1.490,7.000
1,4:21,,,ARI 47,0,17,Jose Cortez kicks extra point good,0.000,0.000
1,4:21,,,SFO 30,0,17,"Jose Cortez kicks off 69 yards, returned by MarTay Jenkins for 31 yards (tackle by Mike Rumph)",0.000,1.070
1,4:06,1,10,ARI 32,0,17,Thomas Jones left end for 7 yards (tackle by Ronnie Heard),1.070,1.470
1,3:26,2,3,ARI 39,0,17,Thomas Jones left tackle for 1 yard (tackle by Derek Smith),1.470,0.890
1,2:47,3,2,ARI 40,0,17,Jake Plummer pass incomplete intended for Frank Sanders,0.890,-0.720
1,2:41,4,2,ARI 40,0,17,"Scott Player punts 43 yards, returned by Jimmy Williams for 40 yards (tackle by Scott Player)",-0.720,-2.720
1,2:24,1,10,ARI 43,0,17,Kevan Barlow left end for 5 yards (tackle by David Barrett),2.720,2.850
1,1:45,2,5,ARI 38,0,17,Kevan Barlow right tackle for 13 yards (tackle by Kwamie Lassiter),2.850,3.910
1,1:05,1,10,ARI 25,0,17,Jeff Garcia pass incomplete intended for Fred Beasley (defended by Renaldo Hill),3.910,3.360
1,0:59,1,10,ARI 25,,,Timeout #1 by San Francisco 49ers,3.910,3.360
