Quarter,Time,Tm,Detail,DET,BUF
1.0,3:40,Bills,Travis Henry 5 yard rush (Mike Hollis kick),0,7
2.0,5:03,Lions,Az-Zahir Hakim 23 yard pass from Joey Harrington (Jason Hanson kick),7,7
,3:00,Lions,James Stewart 2 yard rush (Jason Hanson kick),14,7
,1:04,Bills,Peerless Price 59 yard pass from Drew Bledsoe (Mike Hollis kick),14,14
3.0,11:09,Bills,Mike Hollis 33 yard field goal,14,17
,2:02,Bills,Travis Henry 5 yard rush (Mike Hollis kick),14,24
4.0,3:07,Lions,Jason Hanson 35 yard field goal,17,24
