Unnamed: 0,DET,BUF
First Downs,16,23
Rush-Yds-TDs,24-83-1,24-74-2
Cmp-Att-Yd-TD-INT,20-42-199-1-1,21-36-302-1-0
Sacked-Yards,0-0,4-33
Net Pass Yards,199,269
Total Yards,282,343
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,8-71,6-51
Third Down Conv.,5-15,6-14
Fourth Down Conv.,0-2,1-1
Time of Possession,28:27,31:33
