Unnamed: 0,BAL,PIT
First Downs,22,18
Rush-Yds-TDs,40-138-1,19-77-1
Cmp-Att-Yd-TD-INT,19-28-161-1-3,21-31-203-1-1
Sacked-Yards,5-22,1-11
Net Pass Yards,139,192
Total Yards,277,269
Fumbles-Lost,1-0,2-1
Turnovers,3,2
Penalties-Yards,11-92,11-76
Third Down Conv.,6-15,3-9
Fourth Down Conv.,1-1,0-0
Time of Possession,39:00,25:34
