Unnamed: 0,CHI,GNB
First Downs,11,19
Rush-Yds-TDs,23-94-0,28-106-0
Cmp-Att-Yd-TD-INT,11-27-126-1-4,23-33-246-2-1
Sacked-Yards,7-52,5-31
Net Pass Yards,74,215
Total Yards,168,321
Fumbles-Lost,0-0,2-1
Turnovers,4,2
Penalties-Yards,8-65,4-54
Third Down Conv.,5-15,4-14
Fourth Down Conv.,1-2,1-1
Time of Possession,27:49,32:11
