Unnamed: 0,CHI,DET
First Downs,18,28
Rush-Yds-TDs,8-13-0,23-91-2
Cmp-Att-Yd-TD-INT,31-48-280-2-2,34-45-390-2-0
Sacked-Yards,3-24,2-7
Net Pass Yards,256,383
Total Yards,269,474
Fumbles-Lost,0-0,2-1
Turnovers,2,1
Penalties-Yards,5-41,5-38
Third Down Conv.,5-12,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,26:35,33:25
