#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:18,JAX 28,7,4:00,72,Touchdown
2,1,6:19,JAX 31,3,1:03,3,Punt
3,1,4:15,JAX 33,5,2:23,11,Punt
4,1,0:04,JAX 38,3,1:16,-4,Punt
5,2,12:18,DET 42,4,1:39,7,Downs
6,2,3:40,JAX 22,14,3:40,65,Field Goal
7,3,15:00,JAX 20,15,9:11,80,Touchdown
8,3,4:26,JAX 9,3,1:59,2,Punt
9,4,14:49,JAX 20,3,1:42,9,Punt
10,4,13:07,JAX 26,8,4:21,40,Downs
11,4,6:30,JAX 20,3,1:07,2,Punt
12,4,4:16,JAX 4,3,2:33,3,Punt
13,4,1:22,JAX 33,3,0:36,7,Punt
14,4,0:46,JAX 10,5,0:46,11,End of Half
15,5,15:00,JAX 24,11,5:28,76,Touchdown
