Quarter,Time,Tm,Detail,DET,JAX
1,8:18,Jaguars,LaBrandon Toefield 12 yard pass from David Garrard (Josh Scobee kick),0,7
2,0:00,Jaguars,Josh Scobee 31 yard field goal,0,10
3,5:49,Jaguars,Greg Jones 1 yard rush (Josh Scobee kick),0,17
4,13:07,Lions,Eddie Drummond 55 yard punt return (Jason Hanson kick),7,17
,6:30,Lions,Jason Hanson 21 yard field goal,10,17
,0:46,Lions,Eddie Drummond 83 yard punt return (Jason Hanson kick),17,17
OT,9:32,Jaguars,Jimmy Smith 36 yard pass from David Garrard,17,23
