Unnamed: 0,DET,JAX
First Downs,10,22
Rush-Yds-TDs,19-81-0,50-239-1
Cmp-Att-Yd-TD-INT,11-33-121-0-1,19-36-198-2-0
Sacked-Yards,2-12,3-22
Net Pass Yards,109,176
Total Yards,190,415
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-45,10-99
Third Down Conv.,2-14,12-22
Fourth Down Conv.,0-2,0-2
Time of Possession,23:44,41:44
