Quarter,Time,Tm,Detail,IND,BAL
1.0,6:34,Ravens,Justin Tucker 30 yard field goal,0,3
2.0,12:16,Ravens,Michael Campanaro 6 yard pass from Joe Flacco (Justin Tucker kick),0,10
,7:38,Colts,Frank Gore 14 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,10
,1:55,Ravens,Justin Tucker 39 yard field goal,7,13
3.0,9:24,Ravens,Justin Tucker 36 yard field goal,7,16
,7:13,Colts,Adam Vinatieri 48 yard field goal,10,16
,1:34,Colts,Adam Vinatieri 38 yard field goal,13,16
4.0,8:40,Ravens,Maxx Williams 4 yard pass from Joe Flacco (Justin Tucker kick),13,23
,4:33,Colts,Adam Vinatieri 30 yard field goal,16,23
