Unnamed: 0,IND,BAL
First Downs,17,23
Rush-Yds-TDs,24-93-0,32-103-0
Cmp-Att-Yd-TD-INT,16-33-215-1-0,29-38-237-2-0
Sacked-Yards,2-12,1-17
Net Pass Yards,203,220
Total Yards,296,323
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,2-19,5-25
Third Down Conv.,5-13,6-14
Fourth Down Conv.,1-2,1-1
Time of Possession,24:12,35:48
