Quarter,Time,Tm,Detail,IND,WAS
1.0,9:25,Colts,Eric Ebron 7 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
2.0,11:12,Redskins,Dustin Hopkins 49 yard field goal,7,3
,6:51,Colts,Nyheim Hines 8 yard rush (Adam Vinatieri kick),14,3
3.0,5:40,Redskins,Dustin Hopkins 27 yard field goal,14,6
4.0,13:28,Redskins,Dustin Hopkins 49 yard field goal,14,9
,7:32,Colts,T.Y. Hilton 3 yard pass from Andrew Luck (Adam Vinatieri kick),21,9
