Unnamed: 0,IND,WAS
First Downs,17,20
Rush-Yds-TDs,28-104-1,22-65-0
Cmp-Att-Yd-TD-INT,21-31-179-2-2,33-46-292-0-0
Sacked-Yards,1-2,3-23
Net Pass Yards,177,269
Total Yards,281,334
Fumbles-Lost,1-0,2-1
Turnovers,2,1
Penalties-Yards,6-26,7-90
Third Down Conv.,9-16,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,26:40,33:20
