Quarter,Time,Down,ToGo,Location,IND,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Andrew Luck pass complete short left to Marlon Mack for 2 yards (tackle by Quinton Dunbar and Mason Foster),0.610,0.330
1,14:26,2,8,IND 27,0,0,Jordan Wilkins right tackle for 11 yards (tackle by Josh Norman),0.330,1.470
1,13:52,1,10,IND 38,0,0,Marlon Mack right guard for 8 yards (tackle by Josh Norman and Jonathan Allen),1.470,2.000
1,13:12,2,2,IND 46,0,0,Marlon Mack right guard for 1 yard (tackle by Jonathan Allen),2.000,1.420
1,12:33,3,1,IND 47,0,0,Andrew Luck pass complete short left to T.Y. Hilton for 18 yards (tackle by Josh Norman),1.420,3.250
1,11:57,1,10,WAS 35,0,0,Andrew Luck pass incomplete short left intended for Marlon Mack,3.250,2.700
1,11:53,2,10,WAS 35,0,0,Jordan Wilkins up the middle for 8 yards (tackle by Fabian Moreau),2.700,3.070
1,11:11,3,2,WAS 27,0,0,Andrew Luck pass complete short middle to Eric Ebron for 13 yards (tackle by Josh Norman),3.070,4.650
1,10:31,1,10,WAS 14,0,0,Marlon Mack right tackle for 6 yards (tackle by D.J. Swearinger and Josh Norman),4.650,5.090
1,10:09,2,4,WAS 8,0,0,Marlon Mack up the middle for 1 yard (tackle by Mason Foster and Zach Brown),5.090,4.500
1,9:30,3,3,WAS 7,6,0,"Andrew Luck pass complete short right to Eric Ebron for 7 yards, touchdown",4.500,7.000
1,9:25,,,WAS 15,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,9:25,,,IND 35,7,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,9:25,1,10,WAS 25,7,0,Jamison Crowder left end for 25 yards (tackle by Malik Hooker),0.610,2.260
1,8:42,1,10,WAS 50,7,0,Alex Smith pass complete short left to Adrian Peterson for 6 yards (tackle by Darius Leonard),2.260,2.520
1,8:00,2,4,IND 44,7,0,Adrian Peterson right end for -1 yards (tackle by Margus Hunt and Al-Quadin Muhammad),2.520,1.690
1,7:20,3,5,IND 45,7,0,Alex Smith pass complete short middle to Paul Richardson for 1 yard (tackle by Darius Leonard),1.690,0.330
1,6:43,4,4,IND 44,7,0,"Tress Way punts 34 yards, fair catch by Chester Rogers at IND-10",0.330,0.380
1,6:37,1,10,IND 10,7,0,Marlon Mack right tackle for 1 yard (tackle by Zach Brown),-0.380,-0.710
1,5:56,2,9,IND 11,7,0,Marlon Mack right end for 3 yards (tackle by Mason Foster),-0.710,-0.950
1,5:13,3,6,IND 14,7,0,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,-0.950,-2.470
1,5:09,4,6,IND 14,7,0,"Rigoberto Sanchez punts 54 yards, returned by Greg Stroman for 6 yards (tackle by Zaire Franklin and Najee Goode)",-2.470,-1.470
1,4:58,1,10,WAS 38,7,0,Alex Smith pass complete short left to Adrian Peterson for 3 yards,1.470,1.330
1,4:26,2,7,WAS 41,7,0,Adrian Peterson left tackle for 2 yards (tackle by Anthony Walker and Al-Quadin Muhammad),1.330,0.890
1,3:46,3,5,WAS 43,7,0,"Alex Smith sacked by Margus Hunt for no gain. Penalty on Kemoko Turay: Defensive Offside, 4 yards (no play)",0.890,1.420
1,3:20,3,1,WAS 47,7,0,Robert Kelley up the middle for 1 yard (tackle by Al-Quadin Muhammad),1.420,2.130
1,2:33,1,10,WAS 48,7,0,Alex Smith pass incomplete deep left intended for Josh Doctson,2.130,1.580
1,2:27,2,10,WAS 48,7,0,"Alex Smith for no gain. Alex Smith fumbles, recovered by Chris Thompson at IND-48 and returned for 5 yards (tackle by Clayton Geathers)",1.580,2.080
1,1:46,3,1,IND 43,7,0,Chris Thompson right end for -3 yards (tackle by Kenny Moore and Nate Hairston),2.080,0.200
1,1:08,4,4,IND 46,7,0,"Tress Way punts 36 yards downed by Jehu Chesson. Penalty on Chester Rogers: Unnecessary Roughness, 5 yards",0.200,0.380
1,0:57,1,10,IND 5,7,0,"Penalty on Eric Ebron: False Start, 2 yards (no play)",-0.380,-0.460
1,0:57,1,12,IND 3,7,0,Andrew Luck pass incomplete short middle intended for Jack Doyle (defended by Quinton Dunbar),-0.460,-0.930
1,0:53,2,12,IND 3,7,0,Andrew Luck pass complete short right to Jordan Wilkins for no gain (tackle by Preston Smith and Mason Foster),-0.930,-1.650
1,0:10,3,12,IND 3,7,0,Andrew Luck pass complete short left to T.Y. Hilton for 22 yards (tackle by Montae Nicholson),-1.650,0.610
Quarter,Time,Down,ToGo,Location,IND,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 25,7,0,"Andrew Luck for 17 yards. Andrew Luck fumbles, recovered by Andrew Luck at IND-24 Andrew Luck pass complete short right to T.Y. Hilton for 17 yards (tackle by Montae Nicholson). Penalty on Pernell McPhee: Roughing the Passer, 15 yards",0.610,2.720
2,14:31,1,10,WAS 43,7,0,Jordan Wilkins left tackle for 4 yards (tackle by Quinton Dunbar),2.720,2.720
2,13:58,2,6,WAS 39,7,0,Jordan Wilkins left tackle for 2 yards (tackle by Mason Foster),2.720,2.280
2,13:17,3,4,WAS 37,7,0,Andrew Luck pass short middle (defended by Mason Foster) intended for T.Y. Hilton is intercepted by D.J. Swearinger at WAS-38 and returned for 4 yards,2.280,-1.730
2,13:09,1,10,WAS 42,7,0,Alex Smith pass complete short right to Adrian Peterson for 21 yards (tackle by Nate Hairston),1.730,3.120
2,12:51,1,10,IND 37,7,0,"Alex Smith left end for no gain (tackle by Grover Stewart). Penalty on Grover Stewart: Defensive Offside, 5 yards (no play)",3.120,3.850
2,12:29,1,5,IND 32,7,0,Alex Smith sacked by Jabaal Sheard for -7 yards,3.850,2.300
2,11:51,2,12,IND 39,7,0,Chris Thompson right end for 8 yards (tackle by Darius Leonard),2.300,2.680
2,11:21,3,4,IND 31,7,0,Alex Smith pass incomplete short middle intended for Josh Doctson (defended by Jabaal Sheard),2.680,1.370
2,11:16,4,4,IND 31,7,3,Dustin Hopkins 49 yard field goal good,1.370,3.000
2,11:12,,,WAS 35,7,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,11:12,1,10,IND 25,7,3,Andrew Luck pass complete short middle to Eric Ebron for 6 yards (tackle by Mason Foster and Zach Brown),0.610,0.870
2,10:45,2,4,IND 31,7,3,Andrew Luck pass complete short middle to T.Y. Hilton for 4 yards (tackle by Mason Foster),0.870,1.270
2,10:09,1,10,IND 35,7,3,Nyheim Hines right guard for 1 yard (tackle by Evander Hood and Ryan Kerrigan),1.270,0.860
2,9:35,2,9,IND 36,7,3,"Andrew Luck pass incomplete deep middle intended for T.Y. Hilton (defended by Fabian Moreau). Penalty on Fabian Moreau: Defensive Pass Interference, 37 yards (no play)",0.860,3.780
2,9:28,1,10,WAS 27,7,3,Andrew Luck pass complete short middle to Chester Rogers for 6 yards (tackle by D.J. Swearinger),3.780,4.040
2,8:50,2,4,WAS 21,7,3,Marlon Mack up the middle for 2 yards (tackle by Matthew Ioannidis and Montae Nicholson),4.040,3.640
2,8:14,3,2,WAS 19,7,3,Marlon Mack left end for 5 yards (tackle by Jonathan Allen),3.640,4.650
2,7:37,1,10,WAS 14,7,3,Jordan Wilkins up the middle for 6 yards (tackle by Zach Brown and Montae Nicholson),4.650,5.090
2,6:56,2,4,WAS 8,13,3,"Nyheim Hines up the middle for 8 yards, touchdown",5.090,7.000
2,6:51,,,WAS 15,14,3,Adam Vinatieri kicks extra point good,0.000,0.000
2,6:51,,,IND 35,14,3,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
2,6:51,1,10,WAS 25,14,3,Adrian Peterson right tackle for no gain (tackle by Anthony Walker and Jabaal Sheard),0.610,0.060
2,6:14,2,10,WAS 25,14,3,Alex Smith pass complete short right to Jordan Reed for 4 yards (tackle by Darius Leonard),0.060,-0.100
2,5:39,,,,,,Timeout #1 by Washington Redskins,,
2,5:39,3,6,WAS 29,14,3,Alex Smith pass incomplete deep middle intended for Paul Richardson (defended by Matthias Farley),-0.100,-1.440
2,5:33,4,6,WAS 29,14,3,"Tress Way punts 53 yards, fair catch by Chester Rogers at IND-18. Penalty on Nick Sundberg: Offensive Holding, 10 yards",-1.440,-0.810
2,5:26,1,10,IND 28,14,3,Andrew Luck pass incomplete short left intended for Ryan Hewitt,0.810,0.260
2,5:22,2,10,IND 28,14,3,Nyheim Hines right end for -2 yards (tackle by Zach Brown),0.260,-0.690
2,4:42,3,12,IND 26,14,3,Andrew Luck pass complete short left to T.Y. Hilton for 10 yards (tackle by Mason Foster and Fabian Moreau),-0.690,-0.980
2,4:05,4,2,IND 36,14,3,"Rigoberto Sanchez punts 39 yards, fair catch by Greg Stroman at WAS-25",-0.980,-0.610
2,3:59,1,10,WAS 25,14,3,Jamison Crowder right end for 4 yards (tackle by Darius Leonard),0.610,0.600
2,3:44,2,6,WAS 29,14,3,Alex Smith pass complete short right to Chris Thompson for 8 yards (tackle by Darius Leonard),0.600,1.400
2,3:05,1,10,WAS 37,14,3,Chris Thompson up the middle for -5 yards (tackle by Margus Hunt),1.400,0.180
2,2:30,2,15,WAS 32,14,3,"Penalty on Al Woods: Encroachment, 5 yards (no play)",0.180,0.860
2,2:10,2,10,WAS 37,14,3,Alex Smith pass incomplete deep middle intended for Paul Richardson (defended by Pierre Desir),0.860,0.170
2,2:10,3,10,WAS 37,14,3,"Penalty on Trent Williams: False Start, 5 yards (no play)",0.170,-0.490
2,2:06,3,15,WAS 32,14,3,Alex Smith pass complete short left to Jamison Crowder for no gain (tackle by Clayton Geathers and Margus Hunt),-0.490,-1.240
2,2:00,4,15,WAS 32,14,3,Tress Way punts 28 yards out of bounds,-1.240,-1.600
