Unnamed: 0,BUF,MIA
First Downs,10,25
Rush-Yds-TDs,17-46-0,45-250-3
Cmp-Att-Yd-TD-INT,14-26-192-1-3,14-22-115-1-0
Sacked-Yards,6-32,6-29
Net Pass Yards,160,86
Total Yards,206,336
Fumbles-Lost,1-0,3-0
Turnovers,3,0
Penalties-Yards,3-19,5-45
Third Down Conv.,1-11,9-17
Fourth Down Conv.,1-2,2-2
Time of Possession,22:51,37:09
