Unnamed: 0,NYG,NOR
First Downs,28,35
Rush-Yds-TDs,21-87-0,26-103-0
Cmp-Att-Yd-TD-INT,30-41-350-6-0,39-50-505-7-2
Sacked-Yards,3-21,0-0
Net Pass Yards,329,505
Total Yards,416,608
Fumbles-Lost,2-1,1-0
Turnovers,1,2
Penalties-Yards,6-53,12-93
Third Down Conv.,1-8,7-11
Fourth Down Conv.,2-2,1-1
Time of Possession,25:01,34:59
