Quarter,Time,Tm,Detail,NYG,NOR
1.0,9:39,Giants,Odell Beckham Jr. 2 yard pass from Eli Manning (Josh Brown kick),7,0
,7:36,Saints,Willie Snead 34 yard pass from Drew Brees (Kai Forbath kick),7,7
,2:24,Saints,Brandin Cooks 26 yard pass from Drew Brees (Kai Forbath kick),7,14
2.0,13:31,Giants,Odell Beckham Jr. 1 yard pass from Eli Manning (Josh Brown kick),14,14
,11:05,Saints,Marques Colston 53 yard pass from Drew Brees (Kai Forbath kick),14,21
,1:46,Saints,Willie Snead 2 yard pass from Drew Brees (Kai Forbath kick),14,28
,0:02,Giants,Shane Vereen 2 yard pass from Eli Manning (Josh Brown kick),21,28
3.0,12:58,Giants,Odell Beckham Jr. 50 yard pass from Eli Manning (Josh Brown kick),28,28
,10:09,Saints,Brandin Cooks 21 yard pass from Drew Brees (Kai Forbath kick),28,35
,0:29,Saints,Ben Watson 20 yard pass from Drew Brees (Kai Forbath kick),28,42
4.0,12:15,Giants,Dwayne Harris 9 yard pass from Eli Manning (Josh Brown kick),35,42
,9:30,Giants,Dwayne Harris 20 yard pass from Eli Manning (Josh Brown kick),42,42
,7:11,Giants,Trumaine McBride 63 yard interception return (Josh Brown kick),49,42
,0:36,Saints,C.J. Spiller 9 yard pass from Drew Brees (Kai Forbath kick),49,49
,0:00,Saints,Kai Forbath 50 yard field goal,49,52
