Quarter,Time,Down,ToGo,Location,NYG,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Drew Brees pass complete short right to Josh Hill for 5 yards (tackle by Jayron Hosley),0.280,0.410
1,14:36,2,5,NOR 25,0,0,Khiry Robinson left end for no gain (tackle by Johnathan Hankins and Robert Ayers),0.410,-0.300
1,13:55,3,5,NOR 25,0,0,Drew Brees pass incomplete deep left intended for Brandin Cooks,-0.300,-1.700
1,13:50,4,5,NOR 25,0,0,"Thomas Morstead punts 48 yards, returned by Dwayne Harris for 13 yards (tackle by Jamarca Sanford)",-1.700,-1.600
1,13:40,1,10,NYG 40,0,0,Eli Manning pass complete deep middle to Rueben Randle for 19 yards (tackle by Brandon Browner),1.600,2.850
1,13:05,1,10,NOR 41,0,0,Rashad Jennings right tackle for 1 yard (tackle by Kenny Vaccaro),2.850,2.440
1,12:30,2,9,NOR 40,0,0,Eli Manning pass incomplete short left intended for Rueben Randle (defended by Brandon Browner),2.440,1.750
1,12:25,3,9,NOR 40,0,0,Eli Manning pass complete short middle to Odell Beckham for 12 yards (tackle by Delvin Breaux). Penalty on Kenny Vaccaro: Defensive Holding (Declined),1.750,3.710
1,12:06,1,10,NOR 28,0,0,Shane Vereen right guard for -4 yards (tackle by Kevin Williams),3.710,2.630
1,11:29,2,14,NOR 32,0,0,Eli Manning pass complete short left to Shane Vereen for 24 yards (tackle by Brandon Browner),2.630,5.370
1,11:22,1,8,NOR 8,0,0,Eli Manning pass complete short right to Rueben Randle for 7 yards (tackle by Keenan Lewis),5.370,5.910
1,10:56,2,1,NOR 1,0,0,Andre Williams left guard for no gain (tackle by Kevin Williams),5.910,5.170
1,10:23,3,1,NOR 1,0,0,Andre Williams left guard for -1 yards (tackle by Kevin Williams and Stephone Anthony),5.170,3.250
1,9:43,4,2,NOR 2,6,0,"Eli Manning pass complete short right to Odell Beckham for 2 yards, touchdown",3.250,7.000
1,9:43,,,NOR 2,7,0,Josh Brown kicks extra point good,0.000,0.000
1,9:43,,,NYG 35,7,0,"Josh Brown kicks off 65 yards, touchback",0.000,-0.280
1,9:39,1,10,NOR 20,7,0,Drew Brees pass complete short left to Mark Ingram for 17 yards (tackle by Dominique Rodgers-Cromartie),0.280,1.400
1,9:14,1,10,NOR 37,7,0,C.J. Spiller left guard for 3 yards (tackle by Dominique Rodgers-Cromartie),1.400,1.260
1,8:37,2,7,NOR 40,7,0,Drew Brees pass incomplete short right intended for C.J. Spiller,1.260,0.560
1,8:32,3,7,NOR 40,7,0,Drew Brees pass complete deep middle to Ben Watson for 25 yards (tackle by Craig Dahl),0.560,3.250
1,8:04,1,10,NYG 35,7,0,Drew Brees middle for 1 yard (tackle by Johnathan Hankins),3.250,2.840
