Unnamed: 0,ATL,BUF
First Downs,24,18
Rush-Yds-TDs,36-236-1,35-172-1
Cmp-Att-Yd-TD-INT,15-27-167-2-1,10-23-75-0-1
Sacked-Yards,0-0,4-39
Net Pass Yards,167,36
Total Yards,403,208
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,7-75,3-35
Third Down Conv.,7-12,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,29:11,30:49
