Quarter,Time,Down,ToGo,Location,ATL,BUF,Detail,EPB,EPA
1,9:27,1,10,ATL 16,0,3,Warrick Dunn up the middle for -2 yards (tackle by London Fletcher and Lawyer Milloy),-0.140,-0.890
1,8:51,2,12,ATL 14,0,3,Warrick Dunn left guard for 2 yards (tackle by London Fletcher and Ron Edwards),-0.890,-1.320
1,8:15,3,10,ATL 16,0,3,Michael Vick up the middle for 14 yards (tackle by Jabari Greer),-1.320,0.940
1,7:38,1,10,ATL 30,0,3,Michael Vick pass incomplete intended for Brian Finneran (defended by Terrence McGee),0.940,0.390
1,7:33,2,10,ATL 30,0,3,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Troy Vincent: Roughing the Passer, 15 yards (no play)",0.390,1.930
1,7:25,1,10,ATL 45,0,3,Warrick Dunn left guard for 5 yards (tackle by London Fletcher),1.930,2.060
1,6:48,2,5,BUF 50,0,3,Michael Vick pass complete to Alge Crumpler for 6 yards (tackle by Troy Vincent),2.060,2.650
1,6:12,1,10,BUF 44,0,3,Warrick Dunn right guard for 3 yards (tackle by London Fletcher),2.650,2.520
1,5:36,2,7,BUF 41,0,3,"Michael Vick pass incomplete intended for Brian Finneran. Penalty on Angelo Crowell: Roughing the Passer, 15 yards (no play)",2.520,3.840
1,5:36,1,10,BUF 26,0,3,Warrick Dunn right guard for 1 yard (tackle by Takeo Spikes),3.840,3.430
1,4:50,2,9,BUF 25,0,3,"Penalty on Dwayne Blakley: False Start, 5 yards (no play)",3.430,2.760
1,4:29,2,14,BUF 30,0,3,Michael Vick pass complete to Michael Jenkins for 21 yards (tackle by Troy Vincent),2.760,5.140
1,3:50,1,9,BUF 9,6,3,"Michael Vick pass complete to Dwayne Blakley for 9 yards, touchdown",5.140,7.000
1,,,,BUF 2,7,3,Todd Peterson kicks extra point good,0.000,0.000
1,,,,ATL 30,7,3,"Michael Koenen kicks off 79 yards, touchback",0.000,0.280
1,3:44,1,10,BUF 20,7,3,Willis McGahee up the middle for 4 yards (tackle by Keith Brooking and Demorrio Williams),0.280,0.270
1,3:08,2,6,BUF 24,7,3,Willis McGahee up the middle for 4 yards (tackle by Junior Glymph and Bryan Scott),0.270,0.100
1,2:25,3,2,BUF 28,7,3,J.P. Losman right guard for 3 yards (tackle by Roderick Coleman),0.100,1.000
1,1:42,1,10,BUF 31,7,3,Willis McGahee left tackle for 1 yard (tackle by Christian Morton),1.000,0.600
1,1:01,2,9,BUF 32,7,3,"J.P. Losman pass incomplete intended for Mark Campbell. Penalty on Roderick Coleman: Roughing the Passer, 15 yards (no play)",0.600,2.060
1,0:54,1,10,BUF 47,7,3,J.P. Losman pass incomplete intended for Mark Campbell (defended by Keion Carpenter),2.060,1.520
1,0:49,2,10,BUF 47,7,3,"J.P. Losman pass incomplete intended for Eric Moulds (defended by Bryan Scott). Penalty on Christian Morton: Defensive Pass Interfere, 30 yards (no play)",1.520,4.040
1,0:41,1,10,ATL 23,7,3,Willis McGahee right tackle for no gain (tackle by DeAngelo Hall and Ed Hartwell),4.040,3.500
Quarter,Time,Down,ToGo,Location,ATL,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,ATL 23,7,3,J.P. Losman pass incomplete intended for Eric Moulds (defended by Christian Morton),3.500,2.810
2,14:54,3,10,ATL 23,7,3,J.P. Losman pass incomplete (defended by Roderick Coleman),2.810,1.930
2,14:49,4,10,ATL 23,7,6,Rian Lindell 41 yard field goal good,1.930,3.000
2,,,,BUF 30,7,6,"Rian Lindell kicks off 66 yards, returned by Romby Bryant for 22 yards (tackle by Josh Stamer)",0.000,0.670
2,14:39,1,10,ATL 26,7,6,"Penalty on Sam Adams: Neutral Zone Infraction, 5 yards (no play)",0.670,1.400
2,14:39,1,5,ATL 31,7,6,Warrick Dunn right guard for -2 yards (tackle by Jeff Posey and Sam Adams),1.400,0.540
2,13:59,2,7,ATL 29,7,6,Michael Vick pass incomplete intended for Roddy White,0.540,-0.160
2,13:51,3,7,ATL 29,7,6,Warrick Dunn right tackle for 7 yards (tackle by Rashad Baker),-0.160,1.330
2,13:11,1,10,ATL 36,7,6,Michael Vick pass complete to Alge Crumpler for 21 yards (tackle by Jeff Posey),1.330,2.720
2,12:47,1,10,BUF 43,7,6,Warrick Dunn up the middle for 2 yards (tackle by London Fletcher and Takeo Spikes),2.720,2.450
2,12:11,2,8,BUF 41,7,6,Michael Vick pass complete to Brian Finneran for 17 yards (tackle by Troy Vincent),2.450,3.970
2,11:45,1,10,BUF 24,7,6,Warrick Dunn up the middle for 5 yards (tackle by Troy Vincent and London Fletcher),3.970,4.120
2,11:14,2,5,BUF 19,7,6,Michael Vick left end for 7 yards (tackle by London Fletcher),4.120,4.780
2,10:48,1,10,BUF 12,7,6,Warrick Dunn right guard for -3 yards (tackle by Ryan Denney and Angelo Crowell),4.780,3.660
2,10:14,2,13,BUF 15,13,6,"Michael Vick pass complete to Michael Jenkins for 15 yards, touchdown",3.660,7.000
2,,,,BUF 2,14,6,Todd Peterson kicks extra point good,0.000,0.000
2,,,,ATL 30,14,6,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,10:07,1,10,BUF 20,14,6,Willis McGahee left guard for -1 yards (tackle by Junior Glymph and Demorrio Williams),0.280,-0.460
2,9:32,2,11,BUF 19,14,6,Willis McGahee left guard for 21 yards (tackle by Ed Hartwell),-0.460,1.600
2,8:52,1,10,BUF 40,14,6,Willis McGahee left tackle for 13 yards (tackle by Keith Brooking),1.600,2.460
2,8:25,1,10,ATL 47,14,6,Shaud Williams up the middle for 6 yards (tackle by Jonathan Babineaux and Keith Brooking),2.460,2.720
2,7:44,2,4,ATL 41,14,6,Willis McGahee left tackle for -2 yards (tackle by Keith Brooking and Christian Morton),2.720,1.750
2,7:01,3,6,ATL 43,14,6,J.P. Losman pass complete to Josh Reed for 17 yards (tackle by Ronnie Heard),1.750,3.840
2,6:17,1,10,ATL 26,14,6,Willis McGahee right guard for 6 yards (tackle by Keith Brooking),3.840,4.110
2,5:29,,,,14,6,Timeout #1 by Buffalo Bills,0.000,4.110
2,5:29,2,4,ATL 20,14,6,Willis McGahee right guard for 6 yards (tackle by Bryan Scott and Ed Hartwell),4.110,4.650
2,4:50,1,10,ATL 14,14,6,J.P. Losman pass incomplete intended for Eric Moulds,4.650,4.000
2,4:41,2,10,ATL 14,14,6,J.P. Losman pass complete to Lee Evans for 6 yards (tackle by Christian Morton and Demorrio Williams),4.000,4.280
2,4:00,3,4,ATL 8,14,12,"Willis McGahee up the middle for 8 yards, touchdown",4.280,7.000
2,,,,ATL 2,14,13,Rian Lindell kicks extra point good,0.000,0.000
2,,,,BUF 30,14,13,"Rian Lindell kicks off 79 yards, touchback",0.000,0.280
2,3:55,1,10,ATL 20,14,13,T.J. Duckett up the middle for 11 yards (tackle by Lawyer Milloy and Troy Vincent),0.280,1.000
2,3:24,1,10,ATL 31,14,13,T.J. Duckett up the middle for 1 yard (tackle by Jeff Posey and Terrence McGee),1.000,0.600
2,2:49,2,9,ATL 32,14,13,Michael Vick pass incomplete intended for Alge Crumpler,0.600,-0.100
2,2:43,3,9,ATL 32,14,13,Michael Vick pass incomplete intended for Alge Crumpler,-0.100,-1.240
2,2:38,4,9,ATL 32,14,13,Michael Koenen punts 31 yards. Penalty on Kevin McCadam: Offensive Holding (Declined),-1.240,-1.400
2,2:27,1,10,BUF 37,14,13,Willis McGahee left end for no gain (tackle by Patrick Kerney),1.400,0.860
2,2:00,2,10,BUF 37,14,13,J.P. Losman pass complete to Josh Reed for 7 yards (tackle by Demorrio Williams and Omare Lowe),0.860,1.090
2,1:32,3,3,BUF 44,14,13,J.P. Losman sacked by Roderick Coleman for -9 yards,1.090,-1.040
2,1:19,,,,14,13,Timeout #1 by Atlanta Falcons,0.000,-1.040
2,1:19,4,12,BUF 35,14,13,"Brian Moorman punts 60 yards, returned by Michael Jenkins for 4 yards (tackle by Jabari Greer)",-1.040,0.380
2,1:08,1,10,ATL 9,14,13,Michael Vick pass complete to Brian Finneran for 6 yards (tackle by Jabari Greer and Troy Vincent),-0.380,-0.280
2,0:49,2,4,ATL 15,14,13,Michael Vick pass incomplete intended for Michael Jenkins,-0.280,-0.720
2,0:43,3,4,ATL 15,14,13,Michael Vick pass complete to Michael Jenkins for 7 yards (tackle by Troy Vincent),-0.720,0.410
2,0:38,1,10,ATL 22,14,13,Michael Vick pass incomplete intended for Roddy White,0.410,0.000
2,,,,,14,13,--,0.000,-0.130
2,0:33,2,10,ATL 22,14,13,Warrick Dunn left guard for 59 yards (tackle by Terrence McGee),-0.130,4.310
2,0:22,1,10,BUF 19,14,13,Michael Vick pass incomplete intended for Alge Crumpler,4.310,0.000
2,,,,,14,13,--,0.000,3.750
2,0:16,2,10,BUF 19,14,13,Michael Vick pass incomplete intended for Brian Finneran (defended by Nate Clements),3.750,3.030
2,0:09,3,10,BUF 19,14,13,Michael Vick left end for 10 yards (tackle by London Fletcher),3.030,5.140
2,0:02,1,9,BUF 9,17,13,Todd Peterson 27 yard field goal good,5.140,3.000
Quarter,Time,Down,ToGo,Location,ATL,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 30,17,13,"Rian Lindell kicks off 67 yards, returned by Romby Bryant for 21 yards (tackle by Jonathan Smith)",0.000,0.540
3,14:54,1,10,ATL 24,17,13,Warrick Dunn right guard for 20 yards (tackle by Terrence McGee),0.540,1.860
3,14:28,1,10,ATL 44,17,13,Michael Vick pass incomplete intended for Alge Crumpler is intercepted by Chris Kelsay at BUF-48 and returned for 17 yards,1.860,-3.250
3,14:19,1,10,ATL 35,17,13,Willis McGahee up the middle for 3 yards (tackle by Chad Lavalais),3.250,3.110
3,13:38,2,7,ATL 32,17,13,J.P. Losman pass complete to Lee Evans for 1 yard (tackle by Christian Morton),3.110,2.540
3,12:56,3,6,ATL 31,17,13,J.P. Losman pass complete to Sam Aiken for 12 yards (tackle by DeAngelo Hall and Patrick Kerney),2.540,4.310
3,12:18,1,10,ATL 19,17,13,Willis McGahee right guard for 4 yards (tackle by Keith Brooking),4.310,4.350
3,11:40,2,6,ATL 15,17,13,Willis McGahee up the middle for 2 yards (tackle by Roderick Coleman and Matt Lehr),4.350,3.960
3,10:59,3,4,ATL 13,17,13,Jonathan Smith left tackle for 1 yard (tackle by Chris Cash),3.960,2.730
3,10:14,4,3,ATL 12,17,16,Rian Lindell 30 yard field goal good,2.730,3.000
3,,,,BUF 30,17,16,"Rian Lindell kicks off 67 yards, muffed catch by Romby Bryant, recovered by Romby Bryant at ATL-1, and returned for 2 yards",0.000,-0.380
3,10:04,1,10,ATL 3,17,16,T.J. Duckett right guard for 3 yards (tackle by Angelo Crowell),-0.380,-0.560
3,9:27,,,,17,16,Timeout #1 by Atlanta Falcons,0.000,-0.560
3,9:27,2,7,ATL 6,17,16,T.J. Duckett up the middle for 1 yard (tackle by Sam Adams),-0.560,-0.950
3,8:44,3,6,ATL 7,17,16,Michael Vick pass complete to Brian Finneran for 17 yards (tackle by Terrence McGee),-0.950,0.540
3,8:08,1,10,ATL 24,17,16,T.J. Duckett up the middle for 1 yard (tackle by Tim Anderson and London Fletcher),0.540,0.130
3,7:32,2,9,ATL 25,17,16,Michael Vick pass complete to Justin Griffith for 11 yards (tackle by Lawyer Milloy),0.130,1.330
3,6:52,1,10,ATL 36,17,16,T.J. Duckett right tackle for 13 yards (tackle by Troy Vincent),1.330,2.190
3,6:09,1,10,ATL 49,17,16,T.J. Duckett right end for 2 yards (tackle by Terrence McGee),2.190,1.920
3,5:32,2,8,BUF 49,17,16,Michael Vick left end for 6 yards (tackle by Aaron Schobel),1.920,2.010
3,4:59,3,2,BUF 43,17,16,Michael Vick pass incomplete intended for Dwayne Blakley (defended by Shaud Williams),2.010,0.400
3,4:54,4,2,BUF 43,17,16,"Michael Koenen punts 30 yards, fair catch by Jonathan Smith",0.400,0.320
3,4:45,1,10,BUF 13,17,16,Willis McGahee up the middle for 6 yards (tackle by Ed Hartwell and Keith Brooking),-0.320,0.030
3,4:08,2,4,BUF 19,17,16,Willis McGahee left tackle for 6 yards (tackle by Patrick Kerney),0.030,0.610
3,3:24,1,10,BUF 25,17,16,J.P. Losman pass incomplete intended for Lee Evans,0.610,0.060
3,3:16,2,10,BUF 25,17,16,Willis McGahee right guard for 3 yards (tackle by Ed Hartwell),0.060,-0.230
3,2:37,3,7,BUF 28,17,16,J.P. Losman pass incomplete intended for Eric Moulds (defended by Keion Carpenter),-0.230,-1.500
3,2:30,4,7,BUF 28,17,16,Brian Moorman punts 37 yards,-1.500,-1.270
3,2:21,1,10,ATL 35,17,16,Michael Vick pass complete to Dwayne Blakley for 2 yards (tackle by Terrence McGee and Angelo Crowell),1.270,0.990
3,1:44,2,8,ATL 37,17,16,Warrick Dunn up the middle for -3 yards (tackle by Angelo Crowell and Jeff Posey),0.990,-0.100
3,1:07,,,,17,16,Timeout #1 by Buffalo Bills,0.000,-0.100
3,1:07,3,11,ATL 34,17,16,Michael Vick pass complete to Brian Finneran for 17 yards (tackle by Troy Vincent),-0.100,2.320
3,0:33,1,10,BUF 49,17,16,Warrick Dunn left guard for 2 yards (tackle by Tim Anderson and Lawyer Milloy),2.320,2.050
Quarter,Time,Down,ToGo,Location,ATL,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,BUF 47,17,16,Michael Vick pass complete to Alge Crumpler for 8 yards (tackle by Jeff Posey and Troy Vincent),2.050,2.980
4,14:25,1,10,BUF 39,17,16,"Warrick Dunn right tackle for 4 yards (tackle by Angelo Crowell). Penalty on Michael Jenkins: Offensive Holding, 10 yards (no play)",2.980,2.320
4,14:04,1,20,BUF 49,17,16,Michael Vick pass complete to Michael Jenkins for 5 yards (tackle by London Fletcher),2.320,1.770
4,13:29,2,15,BUF 44,17,16,Michael Vick pass complete to Warrick Dunn for 5 yards (tackle by Angelo Crowell and Troy Vincent),1.770,1.750
4,12:48,3,10,BUF 39,17,16,Michael Vick right tackle for 27 yards (tackle by Lawyer Milloy),1.750,4.780
4,12:14,1,10,BUF 12,23,16,"T.J. Duckett up the middle for 12 yards, touchdown",4.780,7.000
4,,,,BUF 2,24,16,Todd Peterson kicks extra point good,0.000,0.000
4,,,,ATL 30,24,16,"Michael Koenen kicks off 72 yards, returned by Terrence McGee for 27 yards (tackle by Omare Lowe)",0.000,0.610
4,12:00,1,10,BUF 25,24,16,J.P. Losman pass complete to Eric Moulds for 6 yards (tackle by Chris Cash and Bryan Scott),0.610,0.870
4,11:24,2,4,BUF 31,24,16,Willis McGahee up the middle for 3 yards (tackle by Bryan Scott),0.870,0.560
4,10:45,3,1,BUF 34,24,16,Willis McGahee up the middle for no gain (tackle by Keith Brooking),0.560,-1.110
4,10:26,4,1,BUF 34,24,16,J.P. Losman up the middle for 2 yards (tackle by Ed Hartwell),-1.110,1.330
4,9:46,1,10,BUF 36,24,16,"J.P. Losman pass incomplete intended for Joe Burns. Penalty on Chris Cash: Illegal Contact, 5 yards (no play)",1.330,1.660
4,9:39,1,10,BUF 41,24,16,J.P. Losman pass incomplete intended for Lee Evans,1.660,1.120
4,9:35,2,10,BUF 41,24,16,J.P. Losman pass incomplete intended for Lee Evans is intercepted by DeAngelo Hall at ATL-42 and returned for 3 yards,1.120,-1.930
4,9:28,1,10,ATL 45,24,16,Warrick Dunn right guard for 1 yard (tackle by Angelo Crowell and Ron Edwards),1.930,1.520
4,8:48,2,9,ATL 46,24,16,Michael Vick left guard for 2 yards (tackle by London Fletcher),1.520,1.090
4,8:06,3,7,ATL 48,24,16,Michael Vick pass incomplete intended for Brian Finneran,1.090,-0.190
4,8:02,4,7,ATL 48,24,16,"Michael Koenen punts 48 yards, returned by Jonathan Smith for 7 yards (tackle by Kevin McCadam)",-0.190,0.370
4,7:48,1,10,BUF 11,24,16,Willis McGahee right tackle for 8 yards (tackle by Chris Cash),-0.370,0.170
4,7:13,2,2,BUF 19,24,16,Willis McGahee up the middle for 3 yards (tackle by Bryan Scott),0.170,0.410
4,6:27,1,10,BUF 22,24,16,J.P. Losman pass incomplete intended for Jason Peters,0.410,-0.130
4,6:19,2,10,BUF 22,24,16,J.P. Losman pass complete to Eric Moulds for 4 yards (tackle by Demorrio Williams),-0.130,-0.290
4,5:36,3,6,BUF 26,24,16,J.P. Losman sacked by Chad Lavalais and Patrick Kerney for -16 yards,-0.290,-2.490
4,5:10,4,22,BUF 10,24,16,"Brian Moorman punts 44 yards, returned by DeAngelo Hall for 10 yards (tackle by Angelo Crowell). DeAngelo Hall fumbles, recovered by Ryan Denney at BUF-44",-2.490,1.860
4,5:01,1,10,BUF 44,24,16,Willis McGahee left tackle for 18 yards (tackle by Keion Carpenter),1.860,3.050
4,4:25,1,10,ATL 38,24,16,Willis McGahee up the middle for 4 yards (tackle by Roderick Coleman),3.050,3.050
4,3:55,2,6,ATL 34,24,16,J.P. Losman pass incomplete intended for Josh Reed,3.050,2.340
4,3:50,3,6,ATL 34,24,16,Shaud Williams left tackle for 5 yards (tackle by Demorrio Williams and Junior Glymph),2.340,1.620
4,3:25,4,1,ATL 29,24,16,J.P. Losman up the middle for no gain (tackle by Patrick Kerney),1.620,-0.870
,,,,,,,"BUF challenged the ruling, and the play was upheld.",,
4,3:16,1,10,ATL 29,24,16,T.J. Duckett left guard for -1 yards (tackle by Lawyer Milloy),0.870,0.190
4,2:31,2,11,ATL 28,24,16,T.J. Duckett right tackle for 25 yards (tackle by Terrence McGee),0.190,2.460
4,2:23,1,10,BUF 47,24,16,"T.J. Duckett left guard for 3 yards (tackle by London Fletcher and Tim Anderson). Penalty on Alge Crumpler: Illegal Formation, 5 yards (no play)",2.460,2.130
4,2:17,1,15,ATL 48,24,16,Michael Vick pass incomplete intended for Eric Beverly (defended by Aaron Schobel),2.130,1.240
4,2:12,2,15,ATL 48,24,16,T.J. Duckett up the middle for 7 yards (tackle by Terrence McGee),1.240,1.490
4,2:00,3,8,BUF 45,24,16,T.J. Duckett up the middle for no gain (tackle by Jeff Posey),1.490,0.270
4,1:56,,,,24,16,Timeout #3 by Buffalo Bills,0.000,0.270
4,1:56,4,8,BUF 45,24,16,"Michael Koenen punts 35 yards, returned by Jonathan Smith for 17 yards (tackle by Omare Lowe)",0.270,-0.740
4,1:45,1,10,BUF 27,24,16,"J.P. Losman sacked by Roderick Coleman for -7 yards. J.P. Losman fumbles (forced by Roderick Coleman), recovered by Patrick Kerney at BUF-25",0.740,-3.910
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:38,1,10,BUF 25,24,16,Michael Vick kneels for no gain,3.910,3.360
4,0:58,2,10,BUF 25,24,16,Michael Vick kneels for -1 yards,3.360,2.540
4,0:25,3,11,BUF 26,24,16,Michael Vick kneels for -1 yards,2.540,1.670
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
