Quarter,Time,Tm,Detail,ATL,BUF
1.0,9:32,Bills,Rian Lindell 36 yard field goal,0,3
,3:44,Falcons,Dwayne Blakley 9 yard pass from Michael Vick (Todd Peterson kick),7,3
2.0,14:45,Bills,Rian Lindell 41 yard field goal,7,6
,10:07,Falcons,Michael Jenkins 15 yard pass from Michael Vick (Todd Peterson kick),14,6
,3:55,Bills,Willis McGahee 8 yard rush (Rian Lindell kick),14,13
,0:00,Falcons,Todd Peterson 27 yard field goal,17,13
3.0,10:10,Bills,Rian Lindell 30 yard field goal,17,16
4.0,12:07,Falcons,T.J. Duckett 12 yard rush (Todd Peterson kick),24,16
