Quarter,Time,Tm,Detail,CIN,TEN
2.0,14:06,Titans,Caleb Shudak 33 yard field goal,0,3
,11:30,Bengals,Evan McPherson 47 yard field goal,3,3
,11:15,Titans,Treylon Burks fumble recovery in end zone (Caleb Shudak kick),3,10
,1:55,Bengals,Samaje Perine 7 yard rush (Evan McPherson kick),10,10
3.0,2:35,Bengals,Evan McPherson 38 yard field goal,13,10
,0:39,Titans,Caleb Shudak 24 yard field goal,13,13
4.0,13:42,Bengals,Tee Higgins 27 yard pass from Joe Burrow (Evan McPherson kick),20,13
,6:07,Titans,Caleb Shudak 38 yard field goal,20,16
