Unnamed: 0,CIN,TEN
First Downs,21,15
Rush-Yds-TDs,28-108-1,21-63-0
Cmp-Att-Yd-TD-INT,22-37-270-1-0,22-34-291-0-0
Sacked-Yards,1-4,1-10
Net Pass Yards,266,281
Total Yards,374,344
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,9-80,8-57
Third Down Conv.,5-14,7-16
Fourth Down Conv.,0-0,0-0
Time of Possession,31:46,28:14
