Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CAR 25,0,0,Christian McCaffrey right tackle for 4 yards (tackle by Eli Apple and Demario Davis),0.610,0.600
1,14:29,2,6,CAR 29,0,0,Cam Newton pass complete short left to Ian Thomas for 8 yards (tackle by Marcus Williams),0.600,1.400
1,13:59,1,10,CAR 37,0,0,Cam Newton pass incomplete short right intended for D.J. Moore,1.400,0.860
1,13:55,2,10,CAR 37,0,0,Christian McCaffrey up the middle for 9 yards (tackle by Vonn Bell and P.J. Williams),0.860,1.360
1,13:12,3,1,CAR 46,0,0,Christian McCaffrey up the middle for 3 yards (tackle by Kurt Coleman),1.360,2.190
1,12:37,1,10,CAR 49,0,0,Christian McCaffrey right tackle for 5 yards (tackle by A.J. Klein and Cameron Jordan),2.190,2.320
1,12:07,2,5,NOR 46,0,0,Cam Newton sacked by Demario Davis for -10 yards,2.320,0.300
1,11:26,3,15,CAR 44,0,0,Cam Newton pass complete short right to Ian Thomas for 6 yards (tackle by Eli Apple),0.300,-0.060
1,10:50,4,9,CAR 50,0,0,"Michael Palardy punts 36 yards, fair catch by Tommylee Lewis at NO-14",-0.060,0.280
1,10:43,1,10,NOR 14,0,0,Mark Ingram up the middle for 5 yards (tackle by Wes Horton and Thomas Davis),-0.280,-0.040
1,10:11,2,5,NOR 19,0,0,Drew Brees pass incomplete short right intended for Dan Arnold,-0.040,-0.800
1,10:02,3,5,NOR 19,0,0,Drew Brees pass complete deep left to Keith Kirkwood for 21 yards (tackle by Mike Adams),-0.800,1.600
1,9:23,1,10,NOR 40,0,0,Alvin Kamara right tackle for 6 yards (tackle by Luke Kuechly),1.600,1.860
1,8:44,2,4,NOR 46,0,0,"Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by James Bradberry). Penalty on Keith Kirkwood: Offensive Pass Interference, 10 yards (no play)",1.860,0.510
1,8:13,2,14,NOR 36,0,0,Drew Brees pass complete short right to Alvin Kamara for 8 yards (tackle by Shaq Thompson),0.510,0.890
1,7:38,3,6,NOR 44,0,0,Drew Brees pass incomplete short middle intended for Taysom Hill,0.890,-0.460
1,7:33,4,6,NOR 44,0,0,Thomas Morstead punts 46 yards out of bounds,-0.460,0.380
1,7:26,1,10,CAR 10,0,0,Cam Newton left end for no gain (tackle by Vonn Bell and A.J. Klein),-0.380,-0.780
1,6:51,2,10,CAR 10,0,0,Cam Newton pass incomplete short middle intended for Ian Thomas,-0.780,-1.420
1,6:47,3,10,CAR 10,0,0,"Cam Newton pass complete deep left to Curtis Samuel for 17 yards (tackle by Marcus Williams). Penalty on Marcus Davenport: Roughing the Passer, 15 yards",-1.420,1.730
1,6:17,1,10,CAR 42,0,0,Christian McCaffrey up the middle for 2 yards (tackle by Sheldon Rankins),1.730,1.460
1,5:42,2,8,CAR 44,0,0,Cam Newton sacked by Alex Okafor for -1 yards,1.460,0.630
1,4:57,3,9,CAR 43,0,0,Cam Newton pass complete short right to D.J. Moore for 7 yards (tackle by David Onyemata),0.630,-0.060
1,4:12,4,2,CAR 50,0,6,"Christian McCaffrey pass complete short right to Chris Manhertz for 50 yards, touchdown",-0.060,7.000
1,4:02,,,NOR 15,0,7,Chandler Catanzaro kicks extra point good,0.000,0.000
1,4:02,,,CAR 35,0,7,"Chandler Catanzaro kicks off 66 yards, returned by Alvin Kamara for no gain (tackle by Chandler Catanzaro)",0.000,2.190
1,3:56,1,10,NOR 49,0,7,Mark Ingram right guard for 22 yards (tackle by Thomas Davis),2.190,3.640
1,3:14,1,10,CAR 29,0,7,Drew Brees pass incomplete short left intended for Michael Thomas,3.640,3.100
1,3:10,2,10,CAR 29,0,7,Alvin Kamara right guard for 1 yard (tackle by Kawann Short),3.100,2.540
1,2:25,3,9,CAR 28,0,7,Drew Brees pass incomplete short right intended for Josh Hill (defended by Luke Kuechly),2.540,1.590
1,2:20,4,9,CAR 28,3,7,Wil Lutz 46 yard field goal good,1.590,3.000
1,2:16,,,NOR 35,3,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,2:16,1,10,CAR 25,3,7,Christian McCaffrey right guard for 4 yards (tackle by Vonn Bell),0.610,0.600
1,1:41,2,6,CAR 29,3,7,Christian McCaffrey left guard for 5 yards (tackle by Marcus Davenport),0.600,0.560
1,0:57,3,1,CAR 34,3,7,Cam Newton pass incomplete short right intended for Chris Manhertz (defended by Vonn Bell),0.560,-1.110
1,0:53,4,1,CAR 34,3,7,"Michael Palardy punts 41 yards, fair catch by Tommylee Lewis at NO-25",-1.110,-0.610
1,0:46,1,10,NOR 25,3,7,Drew Brees pass complete deep right to Ben Watson for 28 yards (tackle by Thomas Davis),0.610,2.460
1,0:20,1,10,CAR 47,3,7,Mark Ingram right guard for 3 yards (tackle by Wes Horton),2.460,2.320
Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CAR 44,3,7,Drew Brees pass complete short left to Alvin Kamara for 6 yards (tackle by Luke Kuechly),2.320,2.410
2,14:33,,,,,,Timeout #1 by New Orleans Saints,,
2,14:33,3,1,CAR 38,3,7,Alvin Kamara up the middle for 1 yard (tackle by Kawann Short),2.410,3.120
