Unnamed: 0,NOR,CAR
First Downs,21,13
Rush-Yds-TDs,32-155-1,23-98-0
Cmp-Att-Yd-TD-INT,23-35-203-0-1,17-30-181-1-1
Sacked-Yards,2-12,4-32
Net Pass Yards,191,149
Total Yards,346,247
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,9-80,4-48
Third Down Conv.,4-13,7-15
Fourth Down Conv.,1-1,1-2
Time of Possession,35:09,24:51
