Quarter,Time,Down,ToGo,Location,MIN,NWE,Detail,EPB,EPA
2,13:53,2,10,MIN 25,0,7,Tom Brady pass complete to Deion Branch for 20 yards (tackle by Eric Kelly and Lemanski Hall),3.360,6.060
2,13:04,1,5,MIN 5,0,7,Antowain Smith left guard for 4 yards (tackle by Greg Biekert and Corey Chavous),6.060,5.910
2,12:34,2,1,MIN 1,0,13,"Tom Brady pass complete to Christian Fauria for 1 yard, touchdown",5.910,7.000
2,12:34,,,MIN 1,0,14,Adam Vinatieri kicks extra point good,0.000,0.000
2,12:34,,,NWE 30,0,14,"Adam Vinatieri kicks off 59 yards, returned by Moe Williams for 25 yards (tackle by Lawyer Milloy)",0.000,1.330
2,12:24,1,10,MIN 36,0,14,"Penalty on D'Wayne Bates: False Start, 5 yards (no play)",1.330,1.000
2,12:24,1,15,MIN 31,0,14,Daunte Culpepper pass incomplete intended for D'Wayne Bates,1.000,0.120
2,12:18,2,15,MIN 31,0,14,"Penalty on Byron Chamberlain: False Start, 5 yards (no play)",0.120,-0.560
2,12:18,2,20,MIN 26,0,14,Daunte Culpepper pass incomplete intended for Randy Moss,-0.560,-1.220
2,12:11,3,20,MIN 26,0,14,"Daunte Culpepper sacked for 0 yards. Daunte Culpepper fumbles, recovered by Victor Green at MIN-29",-1.220,-3.640
2,12:03,1,10,MIN 29,0,14,"Tom Brady for no gain. Tom Brady fumbles, recovered by Antowain Smith at MIN-35",3.640,2.290
2,11:29,2,16,MIN 35,0,14,Tom Brady pass complete to Daniel Graham for 17 yards (tackle by Greg Biekert and Corey Chavous),2.290,4.370
2,11:01,1,10,MIN 18,0,14,"Antowain Smith right tackle for 3 yards (tackle by Greg Biekert). Penalty on Lorenzo Bromell: Encroachment, 5 yards (no play)",4.370,5.410
2,10:35,1,5,MIN 13,0,14,Marc Edwards middle for 1 yard (tackle by Lorenzo Bromell and Fred Robbins),5.410,4.810
2,10:05,2,4,MIN 12,0,14,Antowain Smith right tackle for 7 yards (tackle by Fred Robbins and Kenny Mixon),4.810,6.060
2,10:05,1,5,MIN 5,0,14,"Penalty on Christian Fauria: False Start, 5 yards (no play)",6.060,4.910
2,9:22,1,10,MIN 10,0,14,Antowain Smith right tackle for 3 yards (tackle by Kenny Mixon and Henri Crockett),4.910,4.760
2,8:46,2,7,MIN 7,0,14,Antowain Smith middle for 2 yards (tackle by Henri Crockett and Fred Robbins),4.760,4.260
2,8:05,3,5,MIN 5,0,20,"Tom Brady pass complete to Troy Brown for 5 yards, touchdown",4.260,7.000
2,8:05,,,MIN 5,0,21,Adam Vinatieri kicks extra point good,0.000,0.000
2,8:05,,,NWE 30,0,21,"Adam Vinatieri kicks off 51 yards, returned by Moe Williams for 11 yards (tackle by Larry Izzo)",0.000,0.940
2,7:58,1,10,MIN 30,0,21,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Willie McGinest),0.940,0.390
2,7:53,2,10,MIN 30,0,21,Michael Bennett right tackle for 2 yards (tackle by Tedy Bruschi and Richard Seymour),0.390,-0.030
2,7:21,3,8,MIN 32,0,21,Daunte Culpepper pass complete to Randy Moss for 19 yards (tackle by Otis Smith),-0.030,2.320
2,6:47,1,10,NWE 49,0,21,Daunte Culpepper pass complete to D'Wayne Bates for 18 yards (tackle by Otis Smith),2.320,3.510
2,6:15,1,10,NWE 31,0,21,Michael Bennett right tackle for 2 yards (tackle by Lawyer Milloy and Richard Seymour),3.510,3.240
2,5:41,2,8,NWE 29,0,21,Daunte Culpepper left guard for 19 yards (tackle by Antwan Harris and Victor Green),3.240,4.910
2,5:06,1,10,NWE 10,0,21,"Michael Bennett middle for no gain (tackle by Roman Phifer). Michael Bennett fumbles (forced by Roman Phifer), recovered by Mike Vrabel at NWE-10",4.910,0.380
2,4:59,1,10,NWE 10,0,21,Tom Brady pass incomplete intended for Troy Brown (defended by Fred Robbins),-0.380,-0.780
2,4:57,2,10,NWE 10,0,21,Antowain Smith right end for 3 yards (tackle by Kenny Mixon),-0.780,-1.070
2,4:16,3,7,NWE 13,0,21,"Tom Brady pass incomplete intended for David Patten. Penalty on Ronnie Bradford: Encroachment (Declined), Penalty on Brian Williams: Defensive Pass Interference, 27 yards (no play)",-1.070,1.600
2,4:11,1,10,NWE 40,0,21,Marc Edwards middle for no gain (tackle by Chris Hovan),1.600,1.050
2,3:35,2,10,NWE 40,0,21,Tom Brady pass complete to Kevin Faulk for 7 yards (tackle by Ronnie Bradford and Lemanski Hall),1.050,1.290
2,2:59,3,3,NWE 47,0,21,Tom Brady pass incomplete intended for Troy Brown (defended by Greg Biekert),1.290,-0.260
2,2:54,4,3,NWE 47,0,21,"Ken Walter punts 28 yards, fair catch by D'Wayne Bates",-0.260,-0.610
2,2:49,1,10,MIN 25,0,21,Daunte Culpepper sacked by Tedy Bruschi for -2 yards,0.610,-0.210
2,2:23,2,12,MIN 23,0,21,"Daunte Culpepper pass complete to Randy Moss for 8 yards (tackle by Roman Phifer). Randy Moss fumbles (forced by Roman Phifer), recovered by Richard Seymour at MIN-31",-0.210,-3.510
2,2:14,2,12,MIN 23,,,Timeout #1 by Minnesota Vikings,-0.210,-3.510
2,2:14,1,10,MIN 31,0,21,Kevin Faulk right tackle for no gain (tackle by Lemanski Hall and Chris Hovan),3.510,2.970
2,2:00,2,10,MIN 31,0,21,"Penalty on Joe Andruzzi: False Start, 5 yards (no play)",2.970,2.290
2,2:00,2,15,MIN 36,0,21,"Kevin Faulk middle for no gain. Penalty on Daniel Graham: False Start, 5 yards (no play)",2.290,1.620
2,2:00,2,20,MIN 41,0,21,Tom Brady pass complete to Troy Brown for 8 yards (tackle by Lemanski Hall and Kenny Mixon),1.620,2.020
2,1:25,3,12,MIN 33,0,21,Tom Brady pass complete to Kevin Faulk for 2 yards (tackle by Lance Johnstone),2.020,1.320
2,1:14,3,12,MIN 33,,,Timeout #2 by Minnesota Vikings,2.020,1.320
2,1:14,4,10,MIN 31,0,21,Tom Brady sacked by Chris Hovan for -8 yards,1.320,-1.530
2,1:09,1,10,MIN 39,0,21,Daunte Culpepper pass complete to Kelly Campbell for 16 yards (tackle by Otis Smith),1.530,2.590
2,0:44,1,10,NWE 45,0,21,Daunte Culpepper for 15 yards,2.590,3.580
2,0:37,1,10,NWE 30,0,21,Daunte Culpepper pass complete to Randy Moss for 7 yards,3.580,3.980
2,0:32,2,3,NWE 23,0,21,"Daunte Culpepper pass incomplete intended for Jim Kleinsasser. Penalty on Tedy Bruschi: Defensive Holding, 5 yards (no play)",3.980,4.370
2,0:29,1,10,NWE 18,0,21,Daunte Culpepper pass complete to Kelly Campbell for 12 yards (tackle by Terrell Buckley),4.370,5.830
2,0:23,1,6,NWE 6,6,21,"Daunte Culpepper pass complete to D'Wayne Bates for 6 yards, touchdown",5.830,7.000
2,0:23,,,NWE 6,7,21,Gary Anderson kicks extra point good,0.000,0.000
2,0:23,,,MIN 30,7,21,"Hayden Epstein kicks off 69 yards, returned by Deion Branch for 24 yards (tackle by Brian Russell)",0.000,0.610
2,0:13,1,10,NWE 25,7,21,Tom Brady kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,MIN,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,7,21,"Hayden Epstein kicks off 68 yards, returned by Deion Branch for 21 yards (tackle by Brian Williams)",0.000,0.480
3,14:56,1,10,NWE 23,7,21,Antowain Smith middle for 16 yards (tackle by Corey Chavous),0.480,1.530
3,14:24,1,10,NWE 39,7,21,Antowain Smith left guard for 2 yards (tackle by Corey Chavous),1.530,1.260
3,13:49,2,8,NWE 41,7,21,Tom Brady pass incomplete intended for David Patten,1.260,0.560
3,13:46,3,8,NWE 41,7,21,"Tom Brady pass incomplete intended for Troy Brown. Penalty on Tyrone Carter: Defensive Pass Interference, 5 yards (no play)",0.560,1.990
3,13:42,1,10,NWE 46,7,21,Kevin Faulk right tackle for -5 yards (tackle by Lorenzo Bromell and Lorenzo Bromell),1.990,0.780
3,13:04,2,15,NWE 41,7,21,Tom Brady pass complete to Marc Edwards for 13 yards (tackle by Eric Kelly and Greg Biekert),0.780,1.820
3,12:26,3,2,MIN 46,7,21,Tom Brady pass incomplete intended for Deion Branch,1.820,0.200
3,12:20,4,2,MIN 46,7,21,Tom Brady middle for 1 yard (tackle by Henri Crockett),0.200,-1.930
3,12:15,1,10,MIN 45,7,21,Michael Bennett right guard for 4 yards (tackle by Willie McGinest and Mike Vrabel),1.930,1.920
3,11:46,2,6,MIN 49,7,21,Daunte Culpepper pass complete to Jim Kleinsasser for 9 yards (tackle by Roman Phifer and Ty Law),1.920,2.790
3,11:13,1,10,NWE 42,7,21,Michael Bennett right tackle for 1 yard (tackle by Richard Seymour and Lawyer Milloy),2.790,2.380
3,10:54,2,9,NWE 41,7,21,Daunte Culpepper pass incomplete intended for Kelly Campbell,2.380,1.680
3,10:48,3,9,NWE 41,7,21,Daunte Culpepper pass incomplete,1.680,0.530
3,10:40,4,9,NWE 41,7,21,"Kyle Richardson punts 29 yards, muffed catch by Troy Brown, recovered by Troy Brown and returned for no gain",0.530,0.350
3,10:31,1,10,NWE 12,7,21,Marc Edwards middle for 4 yards (tackle by Lance Johnstone),-0.350,-0.370
3,9:58,2,6,NWE 16,7,21,Tom Brady pass complete to David Patten for 16 yards (tackle by Tyrone Carter),-0.370,1.070
3,9:23,1,10,NWE 32,7,21,Antowain Smith right tackle for 1 yard (tackle by Fred Robbins and Chris Hovan),1.070,0.660
3,8:48,2,9,NWE 33,7,21,Tom Brady pass incomplete intended for Kevin Faulk,0.660,-0.030
3,8:45,3,9,NWE 33,7,21,Tom Brady sacked by Chris Hovan for -12 yards,-0.030,-1.960
3,8:10,4,21,NWE 21,7,21,"Ken Walter punts 23 yards, fair catch by D'Wayne Bates",-1.960,-2.650
3,8:04,1,10,NWE 44,7,21,Daunte Culpepper pass complete to Kelly Campbell for 7 yards (tackle by Terrell Buckley),2.650,3.060
3,7:32,2,3,NWE 37,7,21,Daunte Culpepper pass complete to Kelly Campbell for 9 yards (tackle by Roman Phifer),3.060,3.710
3,6:59,1,10,NWE 28,7,21,Daunte Culpepper pass complete to D'Wayne Bates for 5 yards (tackle by Ty Law),3.710,3.840
3,6:31,2,5,NWE 23,7,21,Moe Williams right end for 14 yards (tackle by Ty Law),3.840,5.140
3,6:00,1,9,NWE 9,7,21,Moe Williams right guard for 4 yards (tackle by Roman Phifer),5.140,5.150
3,5:23,2,5,NWE 5,7,21,Daunte Culpepper sacked by Jarvis Green for -2 yards,5.150,3.810
3,4:50,3,7,NWE 7,13,21,"Daunte Culpepper pass complete to Kelly Campbell for 7 yards, touchdown",3.810,7.000
3,4:50,,,NWE 7,14,21,Gary Anderson kicks extra point good,0.000,0.000
3,4:50,,,MIN 30,14,21,"Hayden Epstein kicks off 60 yards, returned by Deion Branch for 27 yards (tackle by Jack Brewer)",0.000,1.400
3,4:38,1,10,NWE 37,14,21,Antowain Smith left end for 4 yards (tackle by Chris Hovan and Ronnie Bradford),1.400,1.400
3,4:04,2,6,NWE 41,14,21,Tom Brady pass incomplete intended for Daniel Graham,1.400,0.700
3,3:59,3,6,NWE 41,14,21,Tom Brady pass complete to Troy Brown for 10 yards (tackle by Eric Kelly),0.700,2.320
3,3:19,1,10,MIN 49,14,21,Tom Brady pass incomplete intended for Deion Branch,2.320,1.780
3,3:16,2,10,MIN 49,14,21,Tom Brady pass incomplete intended for Donald Hayes,1.780,1.090
3,3:09,3,10,MIN 49,14,21,Tom Brady pass incomplete intended for Daniel Graham,1.090,0.000
3,3:06,4,10,MIN 49,14,21,"Ken Walter punts 29 yards, returned by Nick Davis for 4 yards (tackle by Tedy Bruschi)",0.000,-0.540
3,2:58,1,10,MIN 24,14,21,Michael Bennett middle for 6 yards (tackle by Tedy Bruschi),0.540,0.810
3,2:32,2,4,MIN 30,14,21,Daunte Culpepper pass complete to Michael Bennett for 8 yards (tackle by Willie McGinest and Roman Phifer),0.810,1.470
3,1:55,1,10,MIN 38,14,21,Michael Bennett left tackle for 21 yards (tackle by Mike Vrabel and Victor Green),1.470,2.850
3,1:20,1,10,NWE 41,14,21,Daunte Culpepper pass complete to Randy Moss for no gain,2.850,2.310
3,0:44,2,10,NWE 41,14,21,Daunte Culpepper for 17 yards,2.310,3.970
3,0:23,2,10,NWE 41,,,Timeout #1 by Minnesota Vikings,2.310,3.970
3,0:23,1,10,NWE 24,14,21,"Penalty on Byron Chamberlain: False Start, 5 yards (no play)",3.970,3.640
3,0:23,1,15,NWE 29,14,21,Daunte Culpepper pass complete to Byron Chamberlain for 9 yards (tackle by Antwan Harris),3.640,3.970
Quarter,Time,Down,ToGo,Location,MIN,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NWE 20,14,21,Daunte Culpepper pass incomplete intended for Randy Moss,3.970,3.270
4,14:53,3,6,NWE 20,14,21,Daunte Culpepper pass incomplete intended for Kelly Campbell,3.270,2.150
4,14:46,4,6,NWE 20,17,21,Gary Anderson 38 yard field goal good,2.150,3.000
4,14:46,,,MIN 30,17,21,"Hayden Epstein kicks off 50 yards, returned by Kevin Faulk for 8 yards (tackle by Brian Williams)",0.000,0.810
4,14:36,1,10,NWE 28,17,21,Tom Brady pass incomplete intended for David Patten,0.810,0.260
4,14:26,2,10,NWE 28,17,21,Tom Brady pass complete to Antowain Smith for 26 yards (tackle by Eric Kelly),0.260,2.520
4,13:48,1,10,MIN 46,17,21,Tom Brady pass complete to Marc Edwards for 27 yards (tackle by Corey Chavous),2.520,4.310
4,12:58,1,10,MIN 19,17,21,Antowain Smith middle for 5 yards (tackle by Nick Rogers),4.310,4.530
4,12:33,2,5,MIN 14,17,21,Antowain Smith left guard for -2 yards (tackle by Nick Rogers and Kenny Mixon),4.530,3.410
4,11:55,3,7,MIN 16,17,21,Kevin Faulk right guard for no gain (tackle by Kenny Mixon and Lemanski Hall),3.410,2.380
4,11:13,4,7,MIN 16,17,24,Adam Vinatieri 34 yard field goal good,2.380,3.000
4,11:13,,,NWE 30,17,24,"Adam Vinatieri kicks off 67 yards, returned by Moe Williams for 27 yards (tackle by Victor Green)",0.000,0.940
4,11:01,1,10,MIN 30,17,24,Moe Williams right tackle for 14 yards (tackle by Lawyer Milloy and Otis Smith),0.940,1.860
4,10:23,1,10,MIN 44,17,24,Daunte Culpepper pass incomplete,1.860,1.320
4,10:17,2,10,MIN 44,17,24,Daunte Culpepper pass complete to Randy Moss for 9 yards,1.320,1.820
4,9:51,3,1,NWE 47,17,24,Moe Williams left guard for 4 yards (tackle by Ted Johnson and Otis Smith),1.820,2.720
4,9:08,1,10,NWE 43,17,24,Daunte Culpepper pass complete to Randy Moss for 19 yards (tackle by Victor Green and Lawyer Milloy),2.720,3.970
4,8:34,1,10,NWE 43,,,Timeout #2 by Minnesota Vikings,2.720,3.970
4,8:34,1,10,NWE 24,17,24,Daunte Culpepper pass incomplete intended for D'Wayne Bates,3.970,3.430
4,8:30,2,10,NWE 24,17,24,Moe Williams right guard for 1 yard (tackle by Victor Green and Willie McGinest),3.430,2.870
4,7:46,3,9,NWE 23,17,24,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Otis Smith),2.870,1.930
4,7:42,4,9,NWE 23,17,24,Gary Anderson 41 yard field goal no good,1.930,-1.000
4,7:37,1,10,NWE 31,17,24,Tom Brady pass complete to David Patten for 15 yards (tackle by Brian Williams),1.000,1.990
4,7:07,1,10,NWE 46,17,24,Antowain Smith middle for 2 yards (tackle by Henri Crockett and Greg Biekert),1.990,1.720
4,6:30,2,8,NWE 48,17,24,Antowain Smith left guard for 2 yards (tackle by Fred Robbins and Chris Hovan),1.720,1.290
4,5:48,3,6,,17,24,Tom Brady pass incomplete intended for David Patten (defended by Brian Williams),1.290,-0.060
4,5:43,4,6,,17,24,"Ken Walter punts 34 yards, returned by Nick Davis for 5 yards (tackle by Matt Chatham)",-0.060,-0.340
4,5:33,1,10,MIN 21,17,24,Daunte Culpepper pass incomplete intended for Kelly Campbell,0.340,-0.200
4,5:27,2,10,MIN 21,17,24,Daunte Culpepper pass complete to Jim Kleinsasser for 22 yards (tackle by Lawyer Milloy and Victor Green),-0.200,1.800
4,4:57,1,10,MIN 43,17,24,Daunte Culpepper pass incomplete intended for Moe Williams,1.800,1.250
4,4:51,2,10,MIN 43,17,24,Daunte Culpepper pass incomplete intended for Randy Moss,1.250,0.560
4,4:47,3,10,MIN 43,17,24,"Daunte Culpepper pass complete to Kelly Campbell for 12 yards (tackle by Otis Smith). Kelly Campbell fumbles (forced by Otis Smith), ball out of bounds at NWE-45",0.560,2.590
4,4:09,1,10,NWE 45,17,24,Daunte Culpepper pass incomplete intended for Chris Walsh,2.590,2.040
4,4:02,2,10,NWE 45,17,24,Daunte Culpepper sacked by Richard Seymour and Tedy Bruschi for -4 yards,2.040,0.830
4,3:31,2,10,NWE 45,,,Timeout #3 by Minnesota Vikings,2.040,0.830
4,3:31,3,14,NWE 49,17,24,Daunte Culpepper pass incomplete intended for Kelly Campbell,0.830,0.000
4,3:25,4,14,NWE 49,17,24,Daunte Culpepper pass incomplete intended for Kelly Campbell (defended by Tedy Bruschi),0.000,-2.190
4,3:21,1,10,NWE 49,17,24,Antowain Smith left end for 3 yards (tackle by Ronnie Bradford),2.190,2.050
4,2:39,2,7,MIN 48,17,24,"Tom Brady for no gain. Tom Brady fumbles, recovered by Antowain Smith at NWE-48",2.050,0.830
4,2:00,3,11,NWE 48,17,24,Tom Brady pass complete to Marc Edwards for 3 yards (tackle by Nick Rogers),0.830,0.000
4,1:13,3,11,NWE 48,,,Timeout #1 by New England Patriots,0.830,0.000
4,1:13,4,8,MIN 49,17,24,"Ken Walter punts 49 yards, touchback",0.000,-0.280
4,1:04,1,10,MIN 20,17,24,Daunte Culpepper pass complete to Moe Williams for 11 yards (tackle by Victor Green and Roman Phifer),0.280,1.000
4,0:53,1,10,MIN 31,17,24,Daunte Culpepper pass incomplete,1.000,0.460
4,0:51,2,10,MIN 31,17,24,Daunte Culpepper pass incomplete intended for Moe Williams,0.460,-0.230
4,0:45,3,10,MIN 31,17,24,Daunte Culpepper pass complete to Randy Moss for 13 yards (tackle by Leonard Myers). Penalty on NWE: Illegal Use of Hands (Declined),-0.230,1.860
4,0:35,3,10,MIN 31,,,Timeout #2 by New England Patriots,-0.230,1.860
4,0:35,1,10,MIN 44,17,24,Daunte Culpepper pass incomplete intended for D'Wayne Bates,1.860,1.320
4,0:30,2,10,MIN 44,17,24,Daunte Culpepper pass incomplete intended for Moe Williams,1.320,0.630
4,0:25,3,10,MIN 44,17,24,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Victor Green),0.630,-0.460
4,0:17,4,10,MIN 44,17,24,Daunte Culpepper pass incomplete intended for Jim Kleinsasser,-0.460,-2.650
4,0:11,1,10,MIN 44,17,24,Tom Brady kneels for -1 yards,2.650,1.980
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
