Quarter,Time,Tm,Detail,CAR,NOR
1.0,8:16,Saints,Ben Watson 14 yard pass from Drew Brees (Kai Forbath kick),0,7
,4:04,Saints,Stephone Anthony 31 yard defensive fumble return (Kai Forbath kick),0,14
2.0,14:55,Panthers,Mike Tolbert 12 yard pass from Cam Newton (Graham Gano kick),7,14
,1:55,Panthers,Jonathan Stewart 5 yard rush (Graham Gano kick failed),13,14
,1:55,Saints,Stephone Anthony defensive extra point return,13,16
3.0,10:21,Panthers,Ted Ginn Jr. 13 yard pass from Cam Newton (Graham Gano kick),20,16
,4:56,Panthers,Devin Funchess 13 yard pass from Cam Newton (Graham Gano kick),27,16
,2:51,Saints,Brandin Cooks 54 yard pass from Drew Brees (Mark Ingram run),27,24
4.0,14:02,Saints,Brandon Coleman 24 yard pass from Drew Brees (Kai Forbath kick),27,31
,11:54,Panthers,Ted Ginn Jr. 45 yard pass from Cam Newton (Graham Gano kick),34,31
,5:21,Saints,Mark Ingram 9 yard rush (Kai Forbath kick),34,38
,1:05,Panthers,Jerricho Cotchery 15 yard pass from Cam Newton (Graham Gano kick),41,38
